key,value
n_seg,80
length_lambda,0.48
radius_lambda,0.005
b,0.0175
dz,0.006
zin_mag_frill_real,82.5003
zin_mag_frill_imag,22.1967
zin_delta_gap_real,85.936
zin_delta_gap_imag,16.1577
gamma_frill_db,-16.6357
gamma_delta_db,-18.3712
