key,value
element_order,2
internal_mesh,1
mesh_file,internal
symmetry_flag,0
eigenvalues_only,1
L_x,1
L_y,0.5
L_z,0.75
N_x,2
N_y,1
N_z,2
num_nodes,18
num_elements,24
num_edges,57
num_faces,64
num_dofs,82
num_free_edges,9
num_free_faces,32
num_zero_eig,9
avg_mesh_length,0.580021
