rank,kc,relative_error
1,4.9451543106e+00,5.5545501301e-02
2,7.7845552369e+00,1.0815171327e-01
3,8.6749207944e+00,1.4877550595e-01
4,8.8555861494e+00,1.7270009726e-01
5,9.9945665932e+00,2.2199846595e-01
6,1.0500239414e+01,2.8382520006e-01
7,1.1152375540e+01,2.5508262532e-01
8,1.2903520187e+01,4.4217561434e-01
9,1.4412646872e+01,-1.0000000000e+00
