rank,kc,relative_error
1,8.3376594433e+00,5.9237497462e-01
2,9.6001174757e+00,3.6660172670e-01
3,1.0007537454e+01,3.2524713185e-01
4,1.1921672742e+01,5.7872630315e-01
5,1.4296054420e+01,7.4792537598e-01
6,1.7870432961e+01,1.1849513394e+00
7,1.7878594751e+01,1.0120478868e+00
