key,value
internal_mesh,0
mesh_file,../original_matlab/Chapter 11/Gmsh files/box_20.msh
symmetry_flag,0
L_x,1
L_y,0.5
L_z,0.75
N_x,2
N_y,1
N_z,2
num_nodes,16
num_elements,20
num_edges,49
num_dofs,7
num_zero_eig,0
avg_mesh_length,0.628132
