key,value
symmetry_flag,0
L_x,1
L_y,0.5
L_z,0.75
N_x,2
N_y,1
N_z,2
num_nodes,18
num_elements,24
num_edges,57
num_dofs,9
num_zero_eig,0
avg_mesh_length,0.580021
