TimeStep,V[1],V[2],V[3],V[4],V[5],V[6],V[7],V[8],V[9],V[10],V[11],V[12],V[13],V[14],V[15],V[16],V[17],V[18],V[19],V[20],V[21],V[22],V[23],V[24],V[25],V[26]
1,0.777488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.714055,0.118635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.514709,0.310022,0.0181023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.397387,0.488098,0.0779858,0.00276219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.380777,0.589755,0.188969,0.0165811,0.000421477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.41509,0.598369,0.334804,0.0542386,0.00324441,6.43123e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.445748,0.5388,0.478044,0.126926,0.0133632,0.000604056,9.81328e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.441436,0.455762,0.576978,0.235861,0.0388634,0.00300002,0.000108803,1.49739e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.399194,0.389034,0.605366,0.366787,0.0889507,0.0104271,0.000632584,1.91399e-05,2.28483e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.335365,0.356866,0.56434,0.491723,0.169451,0.0283415,0.00255729,0.000127501,3.30775e-06,3.48638e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.271157,0.353075,0.480576,0.578565,0.277594,0.063853,0.00804559,0.000587668,2.4838e-05,5.63811e-07,5.31979e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.22053,0.35624,0.392308,0.60453,0.399048,0.123463,0.0209114,0.00209994,0.000128545,4.71148e-06,9.50468e-08,8.11735e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.185111,0.344201,0.33092,0.566759,0.509805,0.209476,0.0465551,0.00618181,0.000514168,2.70503e-05,8.74807e-07,1.58787e-08,1.23861e-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.156606,0.30586,0.307544,0.484311,0.583425,0.316456,0.090898,0.0155593,0.00169028,0.000119723,5.51756e-06,1.59604e-07,2.63283e-09,1.88997e-11,0,0,0,0,0,0,0,0,0,0,0,0
15,0.123732,0.245001,0.310883,0.390014,0.601186,0.429754,0.158163,0.0343164,0.00474299,0.000434617,2.67692e-05,1.09694e-06,2.86948e-08,4.33769e-10,2.88386e-12,0,0,0,0,0,0,0,0,0,0,0
16,0.0791791,0.175691,0.316244,0.315865,0.560566,0.52777,0.247971,0.0674583,0.0116508,0.00134468,0.000106336,5.78854e-06,2.13445e-07,5.09518e-09,7.10756e-11,4.40043e-13,0,0,0,0,0,0,0,0,0,0
17,0.0230477,0.113101,0.300101,0.279112,0.477604,0.588096,0.35293,0.119629,0.0255016,0.00363839,0.000359518,2.49718e-05,1.2171e-06,4.07817e-08,8.95107e-10,1.15911e-11,6.71452e-14,0,0,0,0,0,0,0,0,0
18,-0.0383247,0.0653044,0.252221,0.27585,0.381213,0.595678,0.458173,0.193036,0.050379,0.00876784,0.00106197,9.15781e-05,5.66594e-06,2.49873e-07,7.67053e-09,1.55798e-10,1.88246e-12,1.02455e-14,0,0,0,0,0,0,0,0
19,-0.0967007,0.030216,0.179425,0.285059,0.30147,0.549554,0.543941,0.285131,0.0906748,0.0190708,0.00279217,0.000293145,2.23975e-05,1.24843e-06,5.02565e-08,1.42318e-09,2.68977e-11,3.04604e-13,1.56335e-15,0,0,0,0,0,0,0
20,-0.146577,-0.00147075,0.0999806,0.280654,0.257078,0.464719,0.591074,0.387047,0.149716,0.0378158,0.00662498,0.00083472,7.72147e-05,5.29126e-06,2.68218e-07,9.92888e-09,2.6091e-10,4.6105e-12,4.91285e-14,2.38548e-16,0,0,0,0,0,0
21,-0.187575,-0.0398187,0.0326242,0.245083,0.247967,0.367481,0.587795,0.48388,0.227897,0.0688761,0.0143336,0.00214423,0.000236643,1.95423e-05,1.21322e-06,5.63712e-08,1.93103e-09,4.73286e-11,7.85244e-13,7.90071e-15,3.63995e-17,0,0,0,0,0
22,-0.223638,-0.0896586,-0.0133675,0.177533,0.256652,0.285624,0.535043,0.55751,0.320873,0.115878,0.0285048,0.00502262,0.00065402,6.41235e-05,4.7785e-06,2.71028e-07,1.16206e-08,3.70375e-10,8.5047e-12,1.32976e-13,1.26724e-15,5.55412e-18,0,0,0,0
23,-0.259947,-0.148301,-0.0418712,0.092927,0.257685,0.237404,0.44766,0.591604,0.418677,0.180828,0.0524251,0.0108175,0.00164798,0.000189661,1.67113e-05,1.13389e-06,5.91761e-08,2.35486e-09,7.01637e-11,1.51538e-12,2.24027e-14,2.02779e-16,8.47491e-19,0,0,0
24,-0.299578,-0.207739,-0.0660462,0.0128923,0.230484,0.224361,0.350159,0.577347,0.506575,0.262478,0.0895893,0.0215621,0.00381858,0.00051133,5.26572e-05,4.20969e-06,2.62049e-07,1.2661e-08,4.69964e-10,1.31449e-11,2.67961e-13,3.75664e-15,3.2378e-17,1.29317e-19,0,0
25,-0.341801,-0.259571,-0.0997968,-0.0459857,0.169146,0.231448,0.268129,0.517625,0.568026,0.354994,0.142754,0.0399793,0.00819197,0.00126766,0.000151198,1.40756e-05,1.02923e-06,5.91605e-08,2.66026e-09,9.25146e-11,2.43807e-12,4.70566e-14,6.27265e-16,5.15966e-18,1.97322e-20,0
26,-0.38275,-0.29957,-0.149716,-0.0802481,0.0844885,0.234625,0.218572,0.427523,0.58928,0.44763,0.212622,0.0692284,0.0163592,0.00291019,0.000399174,4.28741e-05,3.63911e-06,2.4506e-07,1.308e-08,5.49946e-10,1.79879e-11,4.48111e-13,8.21178e-15,1.04331e-16,8.20745e-19,6.02179e-21
27,-0.41781,-0.329395,-0.211901,-0.0999737,-0.00239673,0.212444,0.203347,0.33022,0.564238,0.526021,0.296469,0.11229,0.0305414,0.00622173,0.000975934,0.000120053,1.17179e-05,9.13453e-07,5.69851e-08,2.83814e-09,1.12032e-10,3.45841e-12,8.16825e-14,1.42481e-15,1.72919e-17,2.58325e-19
28,-0.444169,-0.354784,-0.274936,-0.121889,-0.0713889,0.156093,0.208871,0.249266,0.497656,0.575217,0.38724,0.170982,0.0534867,0.0124437,0.00222254,0.000311298,3.46787e-05,3.09979e-06,2.23315e-07,1.29725e-08,6.0548e-10,2.25204e-11,6.58154e-13,1.47769e-14,2.45934e-16,5.61031e-18
29,-0.462072,-0.381627,-0.326801,-0.159452,-0.113376,0.0730837,0.212504,0.20005,0.405008,0.583894,0.473695,0.244743,0.0880976,0.0233687,0.00473714,0.000751967,9.50297e-05,9.66576e-06,7.96463e-07,5.33155e-08,2.89704e-09,1.27199e-10,4.47237e-12,1.24083e-13,2.65515e-15,8.22125e-17
30,-0.474218,-0.41238,-0.361497,-0.215519,-0.133942,-0.0171029,0.192964,0.184008,0.308382,0.548461,0.54203,0.329538,0.136734,0.0413276,0.0094866,0.00170049,0.000242596,2.79039e-05,2.60956e-06,1.99361e-07,1.24592e-08,6.35795e-10,2.63497e-11,8.78358e-13,2.32002e-14,9.1409e-16
31,-0.483833,-0.444804,-0.381682,-0.281414,-0.149128,-0.0930641,0.140003,0.18831,0.22941,0.475413,0.578923,0.417337,0.200232,0.0689858,0.0179066,0.00361461,0.000579859,7.50418e-05,7.9145e-06,6.84655e-07,4.87362e-08,2.85551e-09,1.37334e-10,5.38877e-12,1.70831e-13,8.2222e-15
32,-0.492654,-0.473552,-0.396199,-0.342422,-0.175944,-0.142017,0.0588501,0.191513,0.181705,0.380623,0.575365,0.496664,0.276831,0.108877,0.0319398,0.00724645,0.00130316,0.000188966,2.23591e-05,2.1761e-06,1.75046e-07,1.16613e-08,6.42946e-10,2.92363e-11,1.08984e-12,6.23e-14
33,-0.500004,-0.493412,-0.414314,-0.386234,-0.222986,-0.165496,-0.03271,0.172976,0.165849,0.285195,0.530083,0.554456,0.361346,0.162655,0.0539448,0.0137393,0.00276332,0.00044748,5.91461e-05,6.44189e-06,5.81762e-07,4.37163e-08,2.73618e-09,1.42434e-10,6.14687e-12,4.08835e-13
34,-0.503362,-0.502208,-0.440214,-0.409421,-0.286165,-0.177486,-0.113146,0.121967,0.16929,0.208923,0.451153,0.579063,0.445009,0.230164,0.0864028,0.0246923,0.00554492,0.00100011,0.000147146,1.78555e-05,1.80056e-06,1.51617e-07,1.06867e-08,6.30609e-10,3.11241e-11,2.37111e-12
35,-0.499982,-0.50172,-0.470874,-0.418499,-0.351569,-0.196242,-0.167525,0.0423032,0.171559,0.163566,0.35478,0.563697,0.516345,0.30852,0.131381,0.0421398,0.0105547,0.00211607,0.00034557,4.65476e-05,5.21755e-06,4.89623e-07,3.86071e-08,2.56175e-09,1.43188e-10,1.23416e-11
36,-0.488524,-0.496261,-0.498249,-0.425356,-0.403485,-0.234317,-0.194268,-0.049655,0.152885,0.148605,0.261107,0.509228,0.563194,0.391557,0.189771,0.068385,0.0190963,0.0042495,0.000768523,0.00011456,1.42196e-05,1.48023e-06,1.29847e-07,9.62393e-09,6.0433e-10,5.83485e-11
37,-0.46975,-0.489924,-0.514199,-0.439999,-0.432925,-0.292094,-0.205056,-0.132774,0.102653,0.151463,0.188129,0.425133,0.575619,0.469995,0.260429,0.105631,0.0328934,0.00811723,0.00162285,0.000267049,3.65885e-05,4.20866e-06,4.08795e-07,3.36544e-08,2.35844e-09,2.53004e-10
38,-0.445971,-0.484213,-0.515122,-0.464884,-0.441955,-0.358079,-0.218096,-0.191,0.0239449,0.152469,0.14572,0.327837,0.548965,0.532572,0.339444,0.155399,0.0540088,0.0147745,0.00326125,0.000591251,8.91822e-05,1.1298e-05,1.21031e-06,1.10151e-07,8.56668e-09,1.01415e-09
39,-0.41966,-0.477383,-0.503663,-0.493936,-0.441685,-0.415502,-0.24836,-0.220561,-0.0679495,0.132833,0.132129,0.236493,0.486068,0.568182,0.419845,0.217779,0.0846085,0.0256617,0.00624904,0.00124625,0.000206501,2.87323e-05,3.38323e-06,3.39019e-07,2.91231e-08,3.78283e-09
40,-0.392105,-0.465755,-0.48671,-0.516499,-0.445393,-0.451417,-0.299887,-0.231078,-0.152494,0.082453,0.134571,0.167306,0.397618,0.568627,0.492048,0.290671,0.126534,0.0425813,0.0114356,0.00250597,0.000455348,6.94241e-05,8.9596e-06,9.8511e-07,9.30993e-08,1.32032e-08
41,-0.362882,-0.446087,-0.471105,-0.523668,-0.46087,-0.463292,-0.364036,-0.240104,-0.213179,0.00417548,0.134055,0.128267,0.300119,0.531294,0.545208,0.369246,0.180694,0.0675586,0.0200121,0.00481533,0.000958208,0.000159777,2.25453e-05,2.7119e-06,2.80994e-07,4.33261e-08
42,-0.330395,-0.41754,-0.459703,-0.513233,-0.486299,-0.459651,-0.42442,-0.263931,-0.244807,-0.0874496,0.112838,0.116334,0.211673,0.460809,0.569395,0.4459,0.246363,0.102544,0.0335247,0.00885499,0.00192779,0.000351021,5.40446e-05,7.0941e-06,8.03551e-07,1.34213e-07
43,-0.293075,-0.382129,-0.450035,-0.490521,-0.511771,-0.454701,-0.465691,-0.309329,-0.255342,-0.172524,0.0615929,0.118415,0.146694,0.368878,0.55817,0.51095,0.320533,0.148943,0.0538046,0.0156019,0.00371378,0.000737545,0.000123695,1.76805e-05,2.18384e-06,3.93863e-07
44,-0.250508,-0.343491,-0.436184,-0.464874,-0.525293,-0.460136,-0.481426,-0.370348,-0.261478,-0.234512,-0.0167051,0.11614,0.111303,0.271928,0.510856,0.55415,0.397576,0.207007,0.0827721,0.0263642,0.00685962,0.00148454,0.000270835,4.20788e-05,5.6556e-06,1.09834e-06
45,-0.203812,-0.304809,-0.412566,-0.444068,-0.519653,-0.478762,-0.476963,-0.431704,-0.280112,-0.26738,-0.107967,0.0928569,0.101159,0.186926,0.43369,0.566853,0.469432,0.275193,0.122089,0.0427574,0.0121614,0.00286651,0.000568266,9.58247e-05,1.39897e-05,2.9184e-06
46,-0.155112,-0.267159,-0.377313,-0.429989,-0.49624,-0.503353,-0.465869,-0.476835,-0.319934,-0.277867,-0.19291,0.040197,0.102836,0.12649,0.339191,0.544371,0.526515,0.349656,0.172663,0.0665871,0.0207136,0.00531609,0.00114429,0.000209172,3.31215e-05,7.4062e-06
47,-0.106466,-0.229219,-0.333289,-0.417981,-0.463804,-0.521139,-0.462168,-0.496351,-0.377278,-0.281808,-0.255248,-0.0384744,0.0985636,0.0949001,0.243544,0.487857,0.559336,0.424098,0.234058,0.0996031,0.0339159,0.00947857,0.0022142,0.000438345,7.51927e-05,1.79886e-05
48,-0.0589157,-0.188429,-0.286309,-0.400042,-0.433124,-0.521178,-0.472681,-0.492483,-0.438224,-0.296265,-0.288561,-0.129312,0.0728223,0.0865506,0.162495,0.40497,0.560614,0.490178,0.303935,0.143112,0.0534126,0.0162614,0.00412158,0.000883078,0.000163948,4.18946e-05
49,-0.0121999,-0.142812,-0.241747,-0.369797,-0.410832,-0.500381,-0.493615,-0.477313,-0.485788,-0.331207,-0.29875,-0.213606,0.0183324,0.0876945,0.106856,0.308834,0.527396,0.538587,0.37769,0.197474,0.0809274,0.0268607,0.00738721,0.00171224,0.00034381,9.371e-05
50,0.0347354,-0.0923614,-0.201628,-0.326274,-0.395943,-0.464888,-0.513095,-0.465924,-0.508471,-0.384784,-0.3009,-0.275501,-0.0609647,0.0811784,0.0791132,0.215228,0.462535,0.560738,0.448498,0.261551,0.117976,0.0427385,0.0127583,0.00319852,0.000694315,0.000201609
51,0.0827915,-0.0391902,-0.163856,-0.274363,-0.380943,-0.42623,-0.518021,-0.468225,-0.50579,-0.444434,-0.311974,-0.308536,-0.151308,0.0526579,0.0724548,0.138589,0.374923,0.550777,0.507906,0.332246,0.165452,0.065522,0.0212453,0.00576141,0.00135175,0.000417722
52,0.131916,0.0135715,-0.123923,-0.221852,-0.356591,-0.394668,-0.501342,-0.483856,-0.488014,-0.493235,-0.342736,-0.318104,-0.23452,-0.0039646,0.0728669,0.0879206,0.278082,0.507442,0.547052,0.404294,0.22313,0.0967975,0.0341258,0.0100141,0.00253953,0.000834459
53,0.180917,0.0634111,-0.0779531,-0.174958,-0.317489,-0.373573,-0.465719,-0.50279,-0.4704,-0.518274,-0.392703,-0.318677,-0.295306,-0.0840435,0.0638525,0.0639713,0.187223,0.435153,0.558371,0.470481,0.289175,0.137787,0.05289,0.0168054,0.00460766,0.00160875
54,0.227962,0.10961,-0.0252143,-0.135011,-0.265197,-0.357981,-0.421691,-0.511125,-0.465034,-0.516848,-0.450535,-0.326979,-0.327422,-0.173791,0.0322891,0.0588106,0.115388,0.343834,0.537477,0.522415,0.359785,0.188922,0.0791024,0.0272416,0.00807942,0.00299578
55,0.271443,0.153296,0.0313434,-0.098175,-0.207197,-0.337952,-0.381589,-0.49878,-0.474607,-0.497397,-0.499633,-0.354202,-0.336028,-0.255536,-0.0266728,0.058236,0.0697779,0.247205,0.484738,0.551832,0.429139,0.249372,0.114159,0.0426671,0.0136994,0.00539241
56,0.310659,0.196401,0.0867466,-0.0582115,-0.152514,-0.304631,-0.35271,-0.464865,-0.491346,-0.47481,-0.526199,-0.400843,-0.335125,-0.314641,-0.1076,0.0464665,0.0494803,0.159748,0.405992,0.552289,0.489784,0.31662,0.158938,0.0645813,0.0224719,0.00938794
57,0.345949,0.240208,0.136763,-0.0105186,-0.106653,-0.255434,-0.333608,-0.417877,-0.501521,-0.462587,-0.525795,-0.456583,-0.341124,-0.34528,-0.196611,0.0116481,0.0455482,0.0930382,0.311995,0.520886,0.533544,0.38623,0.21338,0.0944678,0.0356734,0.0158156
58,0.378207,0.284366,0.18009,0.0449788,-0.0688243,-0.195464,-0.315437,-0.370794,-0.492992,-0.46595,-0.505186,-0.505268,-0.365375,-0.352599,-0.276529,-0.0497753,0.0436898,0.0524925,0.216462,0.45954,0.552894,0.451944,0.276052,0.133528,0.0548162,0.0257926
59,0.408112,0.326932,0.218713,0.103728,-0.0329547,-0.134476,-0.287405,-0.33391,-0.461691,-0.479426,-0.478602,-0.532594,-0.409023,-0.350261,-0.333454,-0.131537,0.0289129,0.0356234,0.133,0.375348,0.542595,0.506223,0.343816,0.182324,0.0815407,0.0407296
60,0.435551,0.365371,0.256302,0.159166,0.00827995,-0.0813328,-0.243135,-0.309428,-0.413598,-0.49007,-0.460383,-0.532826,-0.462559,-0.354325,-0.362134,-0.219626,-0.00932273,0.0325888,0.0716591,0.279696,0.501227,0.54127,0.41172,0.240385,0.117416,0.0622864
61,0.459552,0.397877,0.295713,0.206402,0.0588641,-0.0392047,-0.184291,-0.290725,-0.361279,-0.484516,-0.457747,-0.511282,-0.510302,-0.376095,-0.367877,-0.297371,-0.073253,0.0291207,0.0361004,0.186103,0.432166,0.550439,0.473247,0.305825,0.163643,0.0922469
62,0.47876,0.424205,0.337085,0.244754,0.116997,-0.00425077,-0.119549,-0.266548,-0.316998,-0.456072,-0.467364,-0.48142,-0.537716,-0.41709,-0.364116,-0.351676,-0.15576,0.0110967,0.0223654,0.107168,0.343606,0.529783,0.521007,0.375117,0.220671,0.132292
63,0.492142,0.445563,0.377662,0.2777,0.176123,0.0316109,-0.0596442,-0.227638,-0.286241,-0.408131,-0.477404,-0.458003,-0.538134,-0.468408,-0.366539,-0.377985,-0.242701,-0.0306682,0.0198507,0.051371,0.247376,0.479379,0.547844,0.443103,0.28778,0.183666
64,0.499483,0.463668,0.413346,0.3104,0.228697,0.0755989,-0.0114489,-0.172037,-0.26514,-0.352161,-0.473913,-0.449774,-0.515686,-0.514821,-0.386253,-0.381905,-0.317931,-0.0970781,0.0144371,0.020672,0.15664,0.404021,0.548253,0.503371,0.362703,0.246745
65,0.501409,0.479559,0.441001,0.346341,0.270378,0.129665,0.025525,-0.106138,-0.243111,-0.30149,-0.44816,-0.455285,-0.483048,-0.541748,-0.424922,-0.376727,-0.369223,-0.180172,-0.00704097,0.00976867,0.0829036,0.312924,0.519805,0.549023,0.441396,0.320571
66,0.498924,0.492901,0.460096,0.385135,0.302178,0.189312,0.0582993,-0.0410498,-0.20909,-0.264292,-0.401115,-0.463946,-0.455131,-0.541892,-0.474062,-0.377757,-0.392813,-0.265694,-0.0523718,0.00745991,0.0331063,0.218296,0.464248,0.573795,0.518076,0.402432
67,0.492781,0.502156,0.472758,0.422709,0.329415,0.24619,0.0959052,0.0135573,-0.157851,-0.239548,-0.342779,-0.461674,-0.441798,-0.518448,-0.518858,-0.395781,-0.394709,-0.338064,-0.121123,-6.5111e-05,0.00765336,0.13294,0.387877,0.573348,0.585612,0.487608
68,0.483048,0.505495,0.482269,0.453684,0.358188,0.292836,0.143877,0.054575,-0.0929227,-0.21809,-0.286834,-0.438227,-0.443193,-0.48337,-0.544811,-0.43242,-0.388125,-0.385974,-0.204506,-0.0248844,0.000139844,0.0673663,0.300907,0.546473,0.636322,0.56942
69,0.469141,0.501864,0.490962,0.47445,0.391561,0.326724,0.200952,0.0867127,-0.0245874,-0.188022,-0.243499,-0.392438,-0.449961,-0.451536,-0.544239,-0.479451,-0.387972,-0.406522,-0.288169,-0.0732933,-0.000934132,0.0271704,0.215771,0.495837,0.663114,0.639691
70,0.450256,0.491577,0.4988,0.485087,0.427688,0.351314,0.259787,0.119299,0.0357928,-0.141482,-0.214426,-0.332699,-0.448192,-0.433608,-0.519636,-0.522409,-0.404608,-0.406181,-0.357105,-0.143449,-0.00876083,0.0114644,0.144592,0.42799,0.660807,0.689661
71,0.425955,0.476087,0.503443,0.489058,0.46092,0.373592,0.311151,0.16058,0.0818651,-0.0790217,-0.192269,-0.272537,-0.426575,-0.431032,-0.48233,-0.546968,-0.439459,-0.398112,-0.400928,-0.225654,-0.0340531,0.0129859,0.0963424,0.352426,0.627378,0.711306
72,0.396523,0.457121,0.501716,0.490931,0.48512,0.399668,0.349067,0.212825,0.115399,-0.00929256,-0.16508,-0.223631,-0.382133,-0.435603,-0.447058,-0.54526,-0.484405,-0.396781,-0.417576,-0.305367,-0.0814037,0.020049,0.0744488,0.279741,0.564801,0.698883
73,0.362907,0.435714,0.49154,0.493562,0.497168,0.431061,0.373916,0.270993,0.144772,0.0556917,-0.123054,-0.189976,-0.321665,-0.433764,-0.425024,-0.519282,-0.525267,-0.411993,-0.41393,-0.368029,-0.147448,0.0199324,0.0755795,0.219227,0.479187,0.650394
74,0.326285,0.411715,0.473154,0.496436,0.498579,0.463822,0.391779,0.325606,0.179813,0.106994,-0.0639647,-0.166204,-0.258208,-0.413486,-0.418706,-0.479834,-0.547931,-0.444786,-0.402984,-0.404036,-0.22161,0.00276664,0.090138,0.176462,0.38003,0.568598
75,0.287538,0.384056,0.448945,0.496083,0.494359,0.490893,0.410538,0.36807,0.225989,0.143322,0.00561023,-0.140871,-0.204405,-0.37031,-0.420918,-0.44145,-0.544466,-0.486938,-0.398577,-0.412047,-0.289371,-0.0353045,0.104537,0.151586,0.278584,0.461207
76,0.246936,0.35157,0.422028,0.488275,0.489873,0.506232,0.435079,0.395334,0.28123,0.17125,0.0738471,-0.10288,-0.166223,-0.309542,-0.418542,-0.415652,-0.516504,-0.524386,-0.409708,-0.399283,-0.337083,-0.090805,0.104776,0.138909,0.185626,0.340033
77,0.204226,0.31387,0.394468,0.470602,0.48764,0.508218,0.464412,0.411252,0.337101,0.201098,0.12998,-0.0475887,-0.140244,-0.243537,-0.399092,-0.405683,-0.474356,-0.543133,-0.436747,-0.37862,-0.356707,-0.154041,0.080381,0.128153,0.1091,0.219072
78,0.159036,0.271737,0.366227,0.443912,0.485947,0.500379,0.492317,0.423967,0.383534,0.240846,0.16987,0.0206595,-0.115889,-0.185507,-0.356913,-0.405188,-0.432223,-0.535152,-0.47115,-0.363482,-0.348751,-0.212432,0.0275052,0.1072,0.0522621,0.1118
79,0.111358,0.226826,0.335422,0.411782,0.480042,0.489108,0.511024,0.440941,0.414364,0.291537,0.197822,0.0908397,-0.0813206,-0.143008,-0.295945,-0.401451,-0.401671,-0.501699,-0.49889,-0.362525,-0.322241,-0.255012,-0.0498217,0.0657035,0.0128917,0.0282617
80,0.061796,0.180866,0.299698,0.378416,0.465105,0.479798,0.515692,0.464554,0.430507,0.34667,0.22375,0.151075,-0.0298955,-0.114433,-0.22774,-0.381649,-0.386348,-0.452555,-0.50625,-0.376229,-0.29162,-0.27654,-0.14083,-0.00147911,-0.016075,-0.0273349
81,0.0114532,0.13487,0.257853,0.346267,0.439182,0.473723,0.507081,0.490775,0.439053,0.395839,0.257344,0.194785,0.036244,-0.0902473,-0.16573,-0.33908,-0.380411,-0.401502,-0.485578,-0.396863,-0.271608,-0.279662,-0.231283,-0.0921522,-0.0445326,-0.0577779
82,-0.0384713,0.0888079,0.210733,0.314804,0.404352,0.467467,0.490891,0.511592,0.448897,0.43047,0.302526,0.22385,0.107274,-0.0582786,-0.118654,-0.276366,-0.371385,-0.360059,-0.43854,-0.411921,-0.271938,-0.274173,-0.307889,-0.196789,-0.0822775,-0.0722869
83,-0.0871256,0.0419286,0.160889,0.281125,0.365489,0.455155,0.474286,0.519684,0.465496,0.44839,0.355225,0.247131,0.170831,-0.010261,-0.0864297,-0.204085,-0.346132,-0.33232,-0.375465,-0.409681,-0.293968,-0.273488,-0.362397,-0.300905,-0.135971,-0.0841773
84,-0.134223,-0.00649081,0.11124,0.241973,0.327434,0.43208,0.461689,0.51258,0.487753,0.454704,0.405646,0.275264,0.218398,0.0537665,-0.0605362,-0.135527,-0.297097,-0.313272,-0.311027,-0.384564,-0.33053,-0.289494,-0.393956,-0.389237,-0.206928,-0.107229
85,-0.179915,-0.0564364,0.0635741,0.195913,0.292308,0.397556,0.452339,0.493922,0.508755,0.458575,0.443658,0.314615,0.249521,0.125474,-0.0286443,-0.0801797,-0.225877,-0.291414,-0.258153,-0.339981,-0.369074,-0.327701,-0.408855,-0.450471,-0.290491,-0.151702
86,-0.224414,-0.106911,0.0177898,0.144368,0.258532,0.355331,0.440975,0.471183,0.519837,0.467827,0.464256,0.363723,0.271649,0.192592,0.0189005,-0.0392002,-0.142425,-0.25448,-0.22284,-0.287351,-0.396867,-0.384604,-0.417721,-0.480944,-0.377287,-0.221158
87,-0.267597,-0.156288,-0.0277082,0.0909284,0.222106,0.311404,0.421152,0.451259,0.515559,0.484471,0.470059,0.414122,0.295763,0.245271,0.0840831,-0.00510597,-0.06032,-0.195619,-0.202198,-0.241589,-0.406078,-0.448432,-0.431181,-0.485953,-0.456076,-0.311129
88,-0.308835,-0.203029,-0.0747233,0.0394028,0.17929,0.270597,0.389177,0.436552,0.496726,0.503659,0.469525,0.454996,0.330233,0.281058,0.160252,0.0341724,0.00956453,-0.117118,-0.186563,-0.214915,-0.396652,-0.503165,-0.455631,-0.478046,-0.517307,-0.41019
89,-0.347147,-0.246337,-0.123902,-0.00819195,0.129061,0.233952,0.346337,0.423798,0.469769,0.51658,0.471983,0.47905,0.376236,0.305916,0.235616,0.0889341,0.0638737,-0.029883,-0.164658,-0.211646,-0.375748,-0.534392,-0.490754,-0.472709,-0.556203,-0.503245
90,-0.38157,-0.286345,-0.174107,-0.0524995,0.0738946,0.19845,0.298167,0.406239,0.44294,0.515554,0.482324,0.486337,0.427198,0.330776,0.299325,0.162254,0.107701,0.0510932,-0.129357,-0.226247,-0.354011,-0.534753,-0.529782,-0.482866,-0.574277,-0.576111
91,-0.411527,-0.323757,-0.222882,-0.0960767,0.0184473,0.159159,0.251273,0.37779,0.421591,0.498378,0.498348,0.483988,0.472471,0.365551,0.346918,0.248165,0.151214,0.113172,-0.0813065,-0.245559,-0.340358,-0.506777,-0.56241,-0.51413,-0.578683,-0.619955
92,-0.436966,-0.35917,-0.267701,-0.141528,-0.033004,0.112452,0.209628,0.336719,0.405275,0.46948,0.512185,0.482073,0.503186,0.413797,0.382285,0.334351,0.203716,0.151381,-0.0286434,-0.254273,-0.337634,-0.461896,-0.579182,-0.562611,-0.579537,-0.634077
93,-0.458205,-0.392496,-0.307224,-0.189672,-0.0788201,0.0583776,0.172548,0.286717,0.388295,0.437301,0.514911,0.487975,0.517041,0.470874,0.415147,0.407918,0.268166,0.170106,0.0170609,-0.241279,-0.34115,-0.415951,-0.575529,-0.616204,-0.58613,-0.626038
94,-0.475578,-0.422837,-0.341822,-0.238839,-0.120616,0.000789922,0.135467,0.234793,0.363294,0.409487,0.501685,0.502421,0.519415,0.526493,0.455408,0.461263,0.338977,0.180441,0.0466984,-0.204104,-0.340841,-0.382942,-0.553733,-0.659001,-0.603401,-0.608961
95,-0.489112,-0.448864,-0.373067,-0.28568,-0.161926,-0.0547728,0.0929924,0.187321,0.325733,0.388693,0.474502,0.519349,0.520276,0.570185,0.50741,0.495056,0.404257,0.194559,0.058474,-0.149525,-0.326092,-0.369569,-0.521939,-0.677251,-0.630005,-0.596857
96,-0.498418,-0.469466,-0.402544,-0.326972,-0.205769,-0.104139,0.0423639,0.146576,0.276659,0.371386,0.44107,0.529575,0.528612,0.596683,0.567105,0.516879,0.451395,0.21991,0.0592763,-0.0901486,-0.291035,-0.372812,-0.490593,-0.664594,-0.65876,-0.599598
97,-0.502868,-0.484275,-0.430701,-0.361302,-0.252599,-0.146658,-0.0147176,0.109778,0.222191,0.350257,0.410509,0.526149,0.547481,0.608281,0.62365,0.536374,0.473202,0.256071,0.061789,-0.038625,-0.237803,-0.381549,-0.467826,-0.624496,-0.679377,-0.619323
