TimeStep,V[1],V[2],V[3],V[4],V[5],V[6],V[7],V[8],V[9],V[10],V[11],V[12],V[13],V[14],V[15],V[16],V[17],V[18],V[19],V[20],V[21],V[22],V[23],V[24],V[25],V[26]
981,-0.251357,-0.165158,-0.0666616,0.0310976,0.134183,0.220137,0.301162,0.354917,0.393063,0.40147,0.387665,0.347589,0.286847,0.206349,0.115676,0.0131148,-0.0837828,-0.183579,-0.262397,-0.334625,-0.375798,-0.40265,-0.395584,-0.370922,-0.316812,-0.24717
982,-0.310829,-0.225185,-0.126208,-0.0192875,0.0892977,0.19204,0.281925,0.356272,0.404063,0.432145,0.425943,0.400215,0.342615,0.268137,0.174799,0.0689594,-0.0362011,-0.147385,-0.238334,-0.3269,-0.381461,-0.425011,-0.429938,-0.417403,-0.371718,-0.305899
983,-0.367009,-0.283178,-0.184542,-0.0694184,0.0435206,0.161981,0.260317,0.353575,0.412055,0.457589,0.461242,0.447977,0.395808,0.327047,0.232014,0.124908,0.0104616,-0.108103,-0.213907,-0.313986,-0.385444,-0.441479,-0.461627,-0.458826,-0.423553,-0.361773
984,-0.419476,-0.338912,-0.24036,-0.119883,-0.001414,0.128851,0.237934,0.345572,0.418072,0.476642,0.493959,0.489802,0.446468,0.381948,0.287387,0.179736,0.0564958,-0.0668742,-0.188607,-0.296704,-0.387074,-0.452471,-0.489814,-0.495293,-0.471342,-0.414675
985,-0.467947,-0.391901,-0.292833,-0.170654,-0.0445486,0.0924892,0.215331,0.332207,0.421963,0.4894,0.523399,0.52565,0.493896,0.432265,0.340762,0.232185,0.10251,-0.0253955,-0.161226,-0.276718,-0.384893,-0.459182,-0.513139,-0.52727,-0.51414,-0.464206
986,-0.512151,-0.441378,-0.341779,-0.220825,-0.086015,0.0539611,0.191818,0.314704,0.422449,0.497056,0.547995,0.556309,0.536765,0.478024,0.391532,0.281416,0.148795,0.014874,-0.130742,-0.255615,-0.377541,-0.462791,-0.530388,-0.555087,-0.551322,-0.509627
987,-0.551709,-0.486456,-0.387467,-0.268883,-0.126693,0.0151096,0.16602,0.29489,0.417878,0.501101,0.566087,0.582717,0.573653,0.519549,0.438698,0.327212,0.194881,0.0533589,-0.0970924,-0.234063,-0.364594,-0.463706,-0.54109,-0.578561,-0.582716,-0.55003
988,-0.58612,-0.526386,-0.430165,-0.313339,-0.16743,-0.0223522,0.136859,0.274179,0.407239,0.502362,0.576801,0.605205,0.603669,0.556993,0.481188,0.369827,0.239564,0.0904813,-0.061386,-0.211528,-0.346852,-0.461306,-0.545703,-0.596951,-0.608489,-0.584626
989,-0.614833,-0.560749,-0.469718,-0.353357,-0.208294,-0.0576576,0.104358,0.252818,0.390812,0.500468,0.58049,0.623124,0.626796,0.589992,0.518254,0.409559,0.281376,0.127179,-0.0254163,-0.186732,-0.325925,-0.454319,-0.545257,-0.609282,-0.62886,-0.61299
990,-0.637389,-0.589474,-0.505406,-0.388995,-0.248308,-0.0912267,0.0697882,0.22986,0.370061,0.494052,0.578474,0.635098,0.643747,0.61766,0.54968,0.446317,0.319219,0.164121,0.00922284,-0.15856,-0.303351,-0.441617,-0.540705,-0.614831,-0.643822,-0.635117
991,-0.653529,-0.612683,-0.53616,-0.420929,-0.285819,-0.124196,0.0350749,0.20387,0.346836,0.481598,0.572217,0.639752,0.655398,0.638936,0.575707,0.479453,0.352789,0.201093,0.0418959,-0.12688,-0.279781,-0.422937,-0.532344,-0.613493,-0.653032,-0.651258
992,-0.663224,-0.630448,-0.561007,-0.44983,-0.319286,-0.157523,0.00181496,0.173939,0.32236,0.462408,0.562437,0.636488,0.66215,0.653076,0.596695,0.507949,0.382539,0.236921,0.0731074,-0.0927782,-0.254724,-0.399107,-0.519671,-0.605805,-0.655938,-0.661635
993,-0.666591,-0.642618,-0.579485,-0.475776,-0.347988,-0.191221,-0.0294941,0.14039,0.296605,0.437112,0.548693,0.62584,0.663601,0.659998,0.612744,0.53085,0.409206,0.269973,0.104003,-0.058075,-0.226988,-0.371643,-0.501745,-0.592625,-0.652064,-0.66622
994,-0.663774,-0.648813,-0.591772,-0.498047,-0.372269,-0.224162,-0.0595585,0.104756,0.268454,0.407402,0.529695,0.609183,0.658741,0.660259,0.623508,0.547687,0.433189,0.298944,0.135492,-0.0244146,-0.195549,-0.341958,-0.477834,-0.574647,-0.64128,-0.664694
995,-0.65483,-0.648587,-0.598462,-0.515428,-0.393143,-0.254586,-0.0896669,0.0690284,0.236527,0.375151,0.504166,0.587959,0.64655,0.65468,0.62831,0.558621,0.454159,0.323459,0.167522,0.00753241,-0.160338,-0.310665,-0.447962,-0.552063,-0.623901,-0.656619
996,-0.639719,-0.641665,-0.60013,-0.526819,-0.411534,-0.280987,-0.120725,0.0346435,0.200193,0.341434,0.471736,0.562889,0.62666,0.643838,0.626502,0.56425,0.471125,0.344123,0.198934,0.0382769,-0.12245,-0.277385,-0.413025,-0.524557,-0.600553,-0.641713
997,-0.618378,-0.628109,-0.59695,-0.531806,-0.427596,-0.302854,-0.15253,0.00181222,0.160151,0.306047,0.433333,0.533641,0.59966,0.627729,0.617841,0.565168,0.482922,0.362012,0.227986,0.0690108,-0.0836784,-0.24116,-0.37441,-0.491629,-0.57189,-0.620069
998,-0.590851,-0.608313,-0.588583,-0.530831,-0.440525,-0.320817,-0.183722,-0.0304093,0.118209,0.267821,0.390813,0.499161,0.566869,0.605828,0.602651,0.561573,0.488819,0.3779,0.25323,0.100704,-0.0456377,-0.201238,-0.333348,-0.453061,-0.538331,-0.592176
