tempo_ns,Ey_Vpm
2.85397,4.20509e-11
2.86576,8.49928e-11
2.87756,1.69785e-10
2.88935,3.35207e-10
2.90114,6.5405e-10
2.91294,1.26119e-09
2.92473,2.40328e-09
2.93652,4.52555e-09
2.94832,8.42097e-09
2.96011,1.54832e-08
2.9719,2.81287e-08
2.9837,5.04903e-08
2.99549,8.95402e-08
3.00728,1.56876e-07
3.01908,2.7152e-07
3.03087,4.64226e-07
3.04266,7.83997e-07
3.05446,1.30776e-06
3.06625,2.1545e-06
3.07804,3.50536e-06
3.08984,5.63194e-06
3.10163,8.93485e-06
3.11342,1.39953e-05
3.12522,2.16424e-05
3.13701,3.30378e-05
3.1488,4.97801e-05
3.1606,7.40267e-05
3.17239,0.000108632
3.18418,0.000157291
3.19598,0.000224679
3.20777,0.000316568
3.21956,0.000439887
3.23136,0.0006027
3.24315,0.000814058
3.25494,0.00108368
3.26674,0.00142142
3.27853,0.00183649
3.29032,0.00233644
3.30212,0.00292583
3.31391,0.00360479
3.3257,0.00436734
3.3375,0.00519984
3.34929,0.00607963
3.36108,0.00697405
3.37288,0.0078402
3.38467,0.00862558
3.39646,0.00926986
3.40826,0.0097078
3.42005,0.00987342
3.43184,0.00970513
3.44363,0.00915159
3.45543,0.0081777
3.46722,0.0067702
3.47901,0.0049422
3.49081,0.00273588
3.5026,0.000222918
3.51439,-0.00249777
3.52619,-0.00530504
3.53798,-0.00806304
3.54977,-0.0106307
3.56157,-0.0128723
3.57336,-0.0146681
3.58515,-0.0159242
3.59695,-0.0165799
3.60874,-0.0166126
3.62053,-0.0160389
3.63233,-0.0149129
3.64412,-0.0133204
3.65591,-0.0113711
3.66771,-0.00918891
3.6795,-0.00690204
3.69129,-0.00463281
3.70309,-0.00248949
3.71488,-0.000559903
3.72667,0.00109243
3.73847,0.00242965
3.75026,0.00343853
3.76205,0.00412755
3.77385,0.00452271
3.78564,0.00466255
3.79743,0.00459311
3.80923,0.00436319
3.82102,0.00402044
3.83281,0.00360832
3.84461,0.00316409
3.8564,0.00271775
3.86819,0.00229179
3.87999,0.00190162
3.89178,0.00155638
3.90357,0.00126005
3.91537,0.00101262
3.92716,0.000811254
3.93895,0.000651276
3.95075,0.000527065
3.96254,0.000432698
3.97433,0.000362445
3.98613,0.000311077
3.99792,0.000274049
4.00971,0.000247569
4.02151,0.000228588
4.0333,0.000214746
4.04509,0.000204277
4.05688,0.000195913
4.06868,0.000188782
4.08047,0.000182312
4.09226,0.000176157
4.10406,0.000170125
4.11585,0.000164126
