z,V_fem,V_analitico
0.0000000000,-1.0000126244,-1.0000000000
0.0031446541,-0.9980852039,-0.9998048083
0.0062893082,-0.9961577834,-0.9992193094
0.0094339623,-0.9942303628,-0.9982437318
0.0125786164,-0.9923029423,-0.9968784564
0.0157232704,-0.9903755217,-0.9951240162
0.0188679245,-0.9884481012,-0.9929810960
0.0220125786,-0.9865206807,-0.9904505325
0.0251572327,-0.9845932601,-0.9875333135
0.0283018868,-0.9826658396,-0.9842305779
0.0314465409,-0.9805021061,-0.9805436150
0.0345911950,-0.9747936781,-0.9764738642
0.0377358491,-0.9690852502,-0.9720229141
0.0408805031,-0.9633768223,-0.9671925024
0.0440251572,-0.9576683944,-0.9619845147
0.0471698113,-0.9519599664,-0.9564009843
0.0503144654,-0.9462515385,-0.9504440907
0.0534591195,-0.9405431106,-0.9441161596
0.0566037736,-0.9348346827,-0.9374196611
0.0597484277,-0.9291262547,-0.9303572096
0.0628930818,-0.9229725350,-0.9229315620
0.0660377358,-0.9137017724,-0.9151456172
0.0691823899,-0.9044310098,-0.9070024148
0.0723270440,-0.8951602473,-0.8985051337
0.0754716981,-0.8858894847,-0.8896570910
0.0786163522,-0.8766187222,-0.8804617410
0.0817610063,-0.8673479596,-0.8709226732
0.0849056604,-0.8580771970,-0.8610436118
0.0880503145,-0.8488064345,-0.8508284131
0.0911949686,-0.8395356719,-0.8402810652
0.0943396226,-0.8296635594,-0.8294056855
0.0974842767,-0.8171855973,-0.8182065195
0.1006289308,-0.8047076352,-0.8066879392
0.1037735849,-0.7922296731,-0.7948544414
0.1069182390,-0.7797517110,-0.7827106456
0.1100628931,-0.7672737489,-0.7702612925
0.1132075472,-0.7547957868,-0.7575112422
0.1163522013,-0.7423178247,-0.7444654720
0.1194968553,-0.7298398626,-0.7311290749
0.1226415094,-0.7173619005,-0.7175072570
0.1257861635,-0.7042016368,-0.7036053363
0.1289308176,-0.6889944684,-0.6894287397
0.1320754717,-0.6737873001,-0.6749830015
0.1352201258,-0.6585801317,-0.6602737612
0.1383647799,-0.6433729634,-0.6453067609
0.1415094340,-0.6281657950,-0.6300878436
0.1446540881,-0.6129586267,-0.6146229504
0.1477987421,-0.5977514583,-0.5989181186
0.1509433962,-0.5825442900,-0.5829794791
0.1540880503,-0.5673371216,-0.5668132541
0.1572327044,-0.5514591204,-0.5504257546
0.1603773585,-0.5341052868,-0.5338233780
0.1635220126,-0.5167514531,-0.5170126056
0.1666666667,-0.4993976195,-0.5000000000
0.1698113208,-0.4820437859,-0.4827922027
0.1729559748,-0.4646899523,-0.4653959314
0.1761006289,-0.4473361187,-0.4478179772
0.1792452830,-0.4299822851,-0.4300652023
0.1823899371,-0.4126284515,-0.4121445370
0.1855345912,-0.3952746179,-0.3940629774
0.1886792453,-0.3773650748,-0.3758275821
0.1918238994,-0.3585293492,-0.3574454700
0.1949685535,-0.3396936236,-0.3389238170
0.1981132075,-0.3208578981,-0.3202698539
0.2012578616,-0.3020221725,-0.3014908626
0.2044025157,-0.2831864469,-0.2825941744
0.2075471698,-0.2643507213,-0.2635871661
0.2106918239,-0.2455149958,-0.2444772577
0.2138364780,-0.2266792702,-0.2252719094
0.2169811321,-0.2078435446,-0.2059786187
0.2201257862,-0.1886751651,-0.1866049174
0.2232704403,-0.1690790877,-0.1671583686
0.2264150943,-0.1494830103,-0.1476465640
0.2295597484,-0.1298869329,-0.1280771206
0.2327044025,-0.1102908556,-0.1084576780
0.2358490566,-0.0906947782,-0.0887958953
0.2389937107,-0.0710987008,-0.0690994482
0.2421383648,-0.0515026234,-0.0493760258
0.2452830189,-0.0319065460,-0.0296333278
0.2484276730,-0.0123104686,-0.0098790615
0.2515723270,0.0072904513,0.0098790615
0.2547169811,0.0268962136,0.0296333278
0.2578616352,0.0465019759,0.0493760258
0.2610062893,0.0661077381,0.0690994482
0.2641509434,0.0857135004,0.0887958953
0.2672955975,0.1053192627,0.1084576780
0.2704402516,0.1249250250,0.1280771206
0.2735849057,0.1445307873,0.1476465640
0.2767295597,0.1641365496,0.1671583686
0.2798742138,0.1837423119,0.1866049174
0.2830188679,0.2029310631,0.2059786187
0.2861635220,0.2217954724,0.2252719094
0.2893081761,0.2406598816,0.2444772577
0.2924528302,0.2595242909,0.2635871661
0.2955974843,0.2783887001,0.2825941744
0.2987421384,0.2972531094,0.3014908626
0.3018867925,0.3161175187,0.3202698539
0.3050314465,0.3349819279,0.3389238170
0.3081761006,0.3538463372,0.3574454700
0.3113207547,0.3727107464,0.3758275821
0.3144654088,0.3906601607,0.3940629774
0.3176100629,0.4080605780,0.4121445370
0.3207547170,0.4254609953,0.4300652023
0.3238993711,0.4428614126,0.4478179772
0.3270440252,0.4602618299,0.4653959314
0.3301886792,0.4776622472,0.4827922027
