z_node,V_node
0.0000000000,-1.0001968883
0.0625000000,-0.9250079361
0.1250000000,-0.7107456111
0.1875000000,-0.3896238899
0.2500000000,-0.0099228783
0.3125000000,0.3712700212
0.3750000000,0.6966431033
0.4375000000,0.9172770774
0.5000000000,1.0000000000
