z_node,V_node
0.0000000000,-1.0000126244
0.0312500000,-0.9808588828
0.0625000000,-0.9241313803
0.0937500000,-0.8320031773
0.1250000000,-0.7080034289
0.1562500000,-0.5568821934
0.1875000000,-0.3844284719
0.2187500000,-0.1972484490
0.2500000000,-0.0025124299
0.2812500000,0.1923198329
0.3125000000,0.3797848999
0.3437500000,0.5527015469
0.3750000000,0.7044458559
0.4062500000,0.8292049577
0.4375000000,0.9221997055
0.4687500000,0.9798677495
0.5000000000,1.0000000000
