z,V_fem,V_analitico
0.0000000000,-1.0326857485,-1.0000000000
0.0263157895,-0.9376569027,-0.9863613034
0.0526315789,-0.8426280570,-0.9458172417
0.0789473684,-0.7475992112,-0.8794737512
0.1052631579,-0.6525703654,-0.7891405094
0.1315789474,-0.5575415196,-0.6772815716
0.1578947368,-0.4625126738,-0.5469481581
0.1842105263,-0.3674838281,-0.4016954247
0.2105263158,-0.2724549823,-0.2454854871
0.2368421053,-0.1774261365,-0.0825793455
0.2631578947,-0.0704426761,0.0825793455
0.2894736842,0.0484953991,0.2454854871
0.3157894737,0.1674334742,0.4016954247
0.3421052632,0.2863715493,0.5469481581
0.3684210526,0.4053096244,0.6772815716
0.3947368421,0.5242476995,0.7891405094
0.4210526316,0.6431857746,0.8794737512
0.4473684211,0.7621238498,0.9458172417
0.4736842105,0.8810619249,0.9863613034
0.5000000000,1.0000000000,1.0000000000
