key,value
prob_type,6
sing,0
quad_pts,6
L_m,1
W_m,1
Xmesh,6
Ymesh,7
num_nodes,56
num_elements,84
num_edges,139
num_dofs,113
matrix_diff_max_abs,3.55315e-15
current_diff_max_abs,1.94413e-16
time_preprocessing_s,0.00339967
time_matrix_fill_by_edge_s,0.947251
time_matrix_fill_by_face_s,0.218859
time_matrix_solve_s,0.0242665
time_overall_s,1.21669
