dof,edge,node1,node2,edge_center_x_m,edge_center_y_m,edge_center_z_m,abs_i,real_i,imag_i,abs_i_norm
72,87,32,38,0.416667,0.642857,0,0.047314,0.0472963,0.00129486,1.78248
73,88,31,38,0.333333,0.642857,0,0.0648556,-0.064397,-0.00769925,2.44333
74,89,33,39,0.583333,0.642857,0,0.0472427,0.0472425,-0.000129778,1.77979
75,90,32,39,0.5,0.642857,0,0.0751074,-0.0750989,0.00112951,2.82955
76,91,34,40,0.75,0.642857,0,0.0356493,0.0346205,0.00850234,1.34303
77,92,33,40,0.666667,0.642857,0,0.0651115,-0.0646732,-0.00754203,2.45297
78,93,35,41,0.916667,0.642857,0,0.0164482,0.0141307,0.00841829,0.619661
79,94,34,41,0.833333,0.642857,0,0.0446762,-0.0386044,-0.022487,1.68311
80,95,36,37,0.0833333,0.714286,0,0.00754993,-0.00411815,0.00632789,0.284432
81,96,37,38,0.25,0.714286,0,0.00333509,0.000623607,0.00327627,0.125644
82,97,38,39,0.416667,0.714286,0,0.00143505,0.000302897,0.00140271,0.0540631
83,98,39,40,0.583333,0.714286,0,0.000846965,0.000161063,-0.000831509,0.0319081
84,99,40,41,0.75,0.714286,0,0.0023831,0.000385009,-0.0023518,0.0897797
85,100,41,42,0.916667,0.714286,0,0.0145964,0.000646936,-0.014582,0.549895
86,102,37,43,0.0833333,0.785714,0,0.0232137,0.0106014,0.0206516,0.874541
87,104,38,44,0.25,0.785714,0,0.0325051,0.0312702,0.00887433,1.22458
88,105,37,44,0.166667,0.785714,0,0.038372,-0.0336985,-0.0183526,1.4456
89,106,39,45,0.416667,0.785714,0,0.0424984,0.0423468,-0.00358571,1.60106
90,107,38,45,0.333333,0.785714,0,0.057403,-0.0573995,-0.000634631,2.16257
91,108,40,46,0.583333,0.785714,0,0.0414083,0.0412353,-0.00378053,1.55999
92,109,39,46,0.5,0.785714,0,0.0666301,-0.0662357,0.00723859,2.51018
93,110,41,47,0.75,0.785714,0,0.0298136,0.0288939,0.00734778,1.12318
94,111,40,47,0.666667,0.785714,0,0.0560496,-0.0558915,-0.0042069,2.11158
95,112,42,48,0.916667,0.785714,0,0.0133164,0.011822,0.00612912,0.501674
96,113,41,48,0.833333,0.785714,0,0.0387868,-0.0321055,-0.0217636,1.46123
97,114,43,44,0.0833333,0.857143,0,0.0069642,-0.00313272,0.00621982,0.262365
98,115,44,45,0.25,0.857143,0,0.00308083,0.00107468,0.00288731,0.116065
99,116,45,46,0.416667,0.857143,0,0.000974892,0.000446617,0.000866573,0.0367275
100,117,46,47,0.583333,0.857143,0,0.000560382,-0.000557161,-5.99908e-05,0.0211115
101,118,47,48,0.75,0.857143,0,0.00114083,-0.00112838,0.000168086,0.042979
102,119,48,49,0.916667,0.857143,0,0.00994713,-0.00127562,-0.009865,0.374742
103,121,44,50,0.0833333,0.928571,0,0.0172216,0.010755,0.0134504,0.648797
104,123,45,51,0.25,0.928571,0,0.0387494,0.0368625,-0.0119446,1.45982
105,124,44,51,0.166667,0.928571,0,0.0423228,-0.041871,0.00616743,1.59444
106,125,46,52,0.416667,0.928571,0,0.0727084,0.0570523,-0.0450726,2.73917
107,126,45,52,0.333333,0.928571,0,0.0979911,-0.0791769,0.0577346,3.69166
108,127,47,53,0.583333,0.928571,0,0.0792742,0.0597999,-0.052042,2.98653
109,128,46,53,0.5,0.928571,0,0.125393,-0.0946103,0.0822943,4.72399
110,129,48,54,0.75,0.928571,0,0.050758,0.0435941,-0.0259987,1.91223
111,130,47,54,0.666667,0.928571,0,0.0960896,-0.0791589,0.0544709,3.62002
112,131,49,55,0.916667,0.928571,0,0.0179742,0.0179501,-0.000931903,0.677151
113,132,48,55,0.833333,0.928571,0,0.0425471,-0.042546,0.000301426,1.60289
