k,ka,a_over_lambda,rcs_n1_over_pi_a2,rcs_n5_over_pi_a2,rcs_n10_over_pi_a2,rcs_n50_over_pi_a2
4.8,4.8,0.763944,0.390593,2.47561,1.40314,1.40315
4.85,4.85,0.771901,0.382583,2.51208,1.37246,1.37247
4.9,4.9,0.779859,0.374817,2.51492,1.32035,1.32036
4.95,4.95,0.787817,0.367284,2.48528,1.25079,1.2508
5,5,0.795775,0.359977,2.42547,1.16882,1.16884
5.05,5.05,0.803732,0.352885,2.33873,1.08018,1.0802
5.1,5.1,0.81169,0.346001,2.22893,0.990897,0.990915
5.15,5.15,0.819648,0.339316,2.10031,0.906875,0.906894
5.2,5.2,0.827606,0.332823,1.95724,0.833527,0.833547
5.25,5.25,0.835563,0.326515,1.80399,0.775431,0.77545
5.3,5.3,0.843521,0.320384,1.64462,0.736058,0.736074
5.35,5.35,0.851479,0.314425,1.48281,0.717575,0.717587
5.4,5.4,0.859437,0.30863,1.32183,0.720728,0.720732
5.45,5.45,0.867394,0.302993,1.16448,0.744817,0.744812
5.5,5.5,0.875352,0.29751,1.0131,0.787764,0.787746
5.55,5.55,0.88331,0.292174,0.869591,0.846271,0.846235
5.6,5.6,0.891268,0.28698,0.735418,0.916054,0.915994
5.65,5.65,0.899225,0.281924,0.611678,0.992149,0.992059
5.7,5.7,0.907183,0.277,0.499131,1.06926,1.06914
5.75,5.75,0.915141,0.272204,0.398248,1.14214,1.14197
5.8,5.8,0.923099,0.267532,0.309258,1.20591,1.20569
5.85,5.85,0.931056,0.262978,0.232183,1.25646,1.25617
5.9,5.9,0.939014,0.25854,0.166883,1.29062,1.29026
5.95,5.95,0.946972,0.254214,0.113084,1.30642,1.30598
6,6,0.95493,0.249995,0.0704096,1.30318,1.30264
6.05,6.05,0.962887,0.24588,0.0384079,1.28148,1.28083
6.1,6.1,0.970845,0.241866,0.0165692,1.24314,1.24238
6.15,6.15,0.978803,0.237949,0.00434561,1.19105,1.19017
6.2,6.2,0.986761,0.234127,0.00116575,1.12894,1.12792
6.25,6.25,0.994718,0.230396,0.00644623,1.06113,1.05996
6.3,6.3,1.00268,0.226754,0.0196014,0.992225,0.990919
6.35,6.35,1.01063,0.223197,0.0400511,0.926842,0.925391
6.4,6.4,1.01859,0.219723,0.067226,0.869261,0.867671
6.45,6.45,1.02655,0.21633,0.100573,0.823174,0.821453
6.5,6.5,1.03451,0.213015,0.139558,0.791437,0.789602
