b,rho_m,k_rho,abs_v,normalized_abs_v,re_v,im_v
8.0000000000e-01,3.3778541646e-04,2.2387211386e-01,3.0871040042e+02,5.1135926445e-02,2.7896747225e+02,1.3220915535e+02
8.0000000000e-01,3.6194359476e-04,2.3988329190e-01,2.9255258337e+02,4.8459486184e-02,2.6099589931e+02,1.3216714637e+02
8.0000000000e-01,3.8782954919e-04,2.5703957828e-01,2.7771421749e+02,4.6001604672e-02,2.4427397979e+02,1.3211892141e+02
8.0000000000e-01,4.1556684910e-04,2.7542287033e-01,2.6402668678e+02,4.3734351729e-02,2.2862481692e+02,1.3206356205e+02
8.0000000000e-01,4.4528790143e-04,2.9512092267e-01,2.5145843658e+02,4.1652500528e-02,2.1402649715e+02,1.3200001455e+02
8.0000000000e-01,4.7713458277e-04,3.1622776602e-01,2.3992782536e+02,3.9742527666e-02,2.0040112162e+02,1.3192707014e+02
8.0000000000e-01,5.1125891663e-04,3.3884415614e-01,2.2939387956e+02,3.7997646130e-02,1.8772023084e+02,1.3184334231e+02
8.0000000000e-01,5.4782379915e-04,3.6307805477e-01,2.1976846509e+02,3.6403257067e-02,1.7590009309e+02,1.3174724096e+02
8.0000000000e-01,5.8700377666e-04,3.8904514499e-01,2.1098809900e+02,3.4948844925e-02,1.6488691039e+02,1.3163694277e+02
8.0000000000e-01,6.2898587893e-04,4.1686938347e-01,2.0299267784e+02,3.3624453950e-02,1.5463199263e+02,1.3151035744e+02
8.0000000000e-01,6.7397051200e-04,4.4668359215e-01,1.9572496270e+02,3.2420602877e-02,1.4509126226e+02,1.3136508912e+02
8.0000000000e-01,7.2217241477e-04,4.7863009232e-01,1.8912976734e+02,3.1328150454e-02,1.3622426624e+02,1.3119839244e+02
8.0000000000e-01,7.7382168413e-04,5.1286138399e-01,1.8315312537e+02,3.0338157492e-02,1.2799297321e+02,1.3100712249e+02
8.0000000000e-01,8.2916487336e-04,5.4954087386e-01,1.7778919784e+02,2.9449656802e-02,1.2043081912e+02,1.3078767785e+02
8.0000000000e-01,8.8846616903e-04,5.8884365536e-01,1.7287673279e+02,2.8635938019e-02,1.1334343456e+02,1.3053593598e+02
8.0000000000e-01,9.5200865217e-04,6.3095734448e-01,1.6841688855e+02,2.7897193010e-02,1.0677041002e+02,1.3024717998e+02
8.0000000000e-01,1.0200956496e-03,6.7608297539e-01,1.6440929278e+02,2.7233360104e-02,1.0075834670e+02,1.2991601565e+02
8.0000000000e-01,1.0930521817e-03,7.2443596007e-01,1.6077637459e+02,2.6631590169e-02,9.5233372825e+01,1.2953627803e+02
8.0000000000e-01,1.1712265143e-03,7.7624711663e-01,1.5747669966e+02,2.6085019875e-02,9.0176836335e+01,1.2910092612e+02
8.0000000000e-01,1.2549918209e-03,8.3176377110e-01,1.5447169340e+02,2.5587259583e-02,8.5574815024e+01,1.2860192493e+02
8.0000000000e-01,1.3447479640e-03,8.9125093813e-01,1.5172511777e+02,2.5132306692e-02,8.1417451227e+01,1.2803011364e+02
8.0000000000e-01,1.4409234041e-03,9.5499258602e-01,1.4920209865e+02,2.4714384522e-02,7.7697236372e+01,1.2737505918e+02
8.0000000000e-01,1.5439772449e-03,1.0232929923e+00,1.4686806822e+02,2.4327767134e-02,7.4406757637e+01,1.2662489439e+02
8.0000000000e-01,1.6544014247e-03,1.0964781961e+00,1.4468831820e+02,2.3966705322e-02,7.1537314128e+01,1.2576614056e+02
8.0000000000e-01,1.7727230652e-03,1.1748975549e+00,1.4262880750e+02,2.3625560394e-02,6.9080035029e+01,1.2478351450e+02
8.0000000000e-01,1.8995069872e-03,1.2589254118e+00,1.4065808311e+02,2.3299122356e-02,6.7029617941e+01,1.2365972127e+02
8.0000000000e-01,2.0353584072e-03,1.3489628826e+00,1.3876115855e+02,2.2984908792e-02,6.5413768246e+01,1.2237523461e+02
8.0000000000e-01,2.1809258264e-03,1.4454397707e+00,1.3687871740e+02,2.2673094315e-02,6.4164025253e+01,1.2090806897e+02
8.0000000000e-01,2.3369041263e-03,1.5488166189e+00,1.3501837657e+02,2.2364940616e-02,6.3350791818e+01,1.1923354892e+02
8.0000000000e-01,2.5040378858e-03,1.6595869074e+00,1.3314635309e+02,2.2054851760e-02,6.2952445817e+01,1.1732408494e+02
8.0000000000e-01,2.6831249357e-03,1.7782794100e+00,1.3123514842e+02,2.1738272787e-02,6.2955375409e+01,1.1514896824e+02
8.0000000000e-01,2.8750201669e-03,1.9054607180e+00,1.2926943329e+02,2.1412664501e-02,6.3364899409e+01,1.1267420248e+02
8.0000000000e-01,3.0806396118e-03,2.0417379447e+00,1.2723033518e+02,2.1074900789e-02,6.4170179435e+01,1.0986239694e+02
8.0000000000e-01,3.3009648166e-03,2.1877616239e+00,1.2510192153e+02,2.0722342521e-02,6.5356057884e+01,1.0667275410e+02
8.0000000000e-01,3.5370475269e-03,2.3442288153e+00,1.2287520417e+02,2.0353500867e-02,6.6908189325e+01,1.0306119542e+02
8.0000000000e-01,3.7900147086e-03,2.5118864315e+00,1.2052421491e+02,1.9964074356e-02,6.8767077096e+01,9.8980682393e+01
8.0000000000e-01,4.0610739274e-03,2.6915348039e+00,1.1806231373e+02,1.9556275987e-02,7.0928023893e+01,9.4381806241e+01
8.0000000000e-01,4.3515191132e-03,2.8840315031e+00,1.1547439454e+02,1.9127603533e-02,7.3316059282e+01,8.9213739114e+01
8.0000000000e-01,4.6627367369e-03,3.0902954325e+00,1.1276739102e+02,1.8679205509e-02,7.5872547245e+01,8.3425661824e+01
8.0000000000e-01,4.9962124288e-03,3.3113112148e+00,1.0994484075e+02,1.8211667899e-02,7.8509047893e+01,7.6968808005e+01
8.0000000000e-01,5.3535380705e-03,3.5481338923e+00,1.0700242491e+02,1.7724275314e-02,8.1102269134e+01,6.9799289945e+01
8.0000000000e-01,5.7364193939e-03,3.8018939632e+00,1.0396460732e+02,1.7221080034e-02,8.3542029489e+01,6.1881894644e+01
8.0000000000e-01,6.1466841235e-03,4.0738027780e+00,1.0084165659e+02,1.6703782985e-02,8.5669865581e+01,5.3195054609e+01
8.0000000000e-01,6.5862907015e-03,4.3651583224e+00,9.7653518898e+01,1.6175688129e-02,8.7311323563e+01,4.3737198479e+01
8.0000000000e-01,7.0573376366e-03,4.6773514129e+00,9.4407890853e+01,1.5638070359e-02,8.8251212438e+01,3.3534659063e+01
8.0000000000e-01,7.5620735212e-03,5.0118723363e+00,9.1138280407e+01,1.5096480057e-02,8.8278578150e+01,2.2651242689e+01
8.0000000000e-01,8.1029077656e-03,5.3703179637e+00,8.7862276691e+01,1.4553830749e-02,8.7145583349e+01,1.1199418205e+01
8.0000000000e-01,8.6824220994e-03,5.7543993734e+00,8.4602204845e+01,1.4013820455e-02,8.4599729547e+01,-6.4716708003e-01
8.0000000000e-01,9.3033828957e-03,6.1659500186e+00,8.1379310735e+01,1.3479968418e-02,8.0391598297e+01,-1.2640535546e+01
8.0000000000e-01,9.9687543768e-03,6.6069344801e+00,7.8212538408e+01,1.2955412599e-02,7.4294013121e+01,-2.4445874469e+01
8.0000000000e-01,1.0681712764e-02,7.0794578438e+00,7.5119254625e+01,1.2443029693e-02,6.6130764490e+01,-3.5631789225e+01
8.0000000000e-01,1.1445661439e-02,7.5857757503e+00,7.2112982693e+01,1.1945059751e-02,5.5810860509e+01,-4.5666509853e+01
8.0000000000e-01,1.2264247194e-02,8.1283051616e+00,6.9204318381e+01,1.1463257893e-02,4.3374881042e+01,-5.3924552637e+01
8.0000000000e-01,1.3141377632e-02,8.7096358996e+00,6.6398705440e+01,1.0998525844e-02,2.9043707302e+01,-5.9709724085e+01
8.0000000000e-01,1.4081239830e-02,9.3325430080e+00,6.3701182840e+01,1.0551698277e-02,1.3280248320e+01,-6.2301490349e+01
