key,value
freq_hz,1e+10
lambda_0,0.0299792
eps_r_prime,5
tan_delta,0
k_0,209.584
k_real,468.645
k_imag,-0
d,0.00299792
rho,0.014314
lambda_p,270.076
residue_real,15.1107
residue_imag,-0
