b,rho_m,k_rho,phase_deg
8.0000000000e-01,3.5370475269e-03,2.3442288153e+00,5.7008029967e+01
8.0000000000e-01,3.7900147086e-03,2.5118864315e+00,5.5210262398e+01
8.0000000000e-01,4.0610739274e-03,2.6915348039e+00,5.3075100558e+01
8.0000000000e-01,4.3515191132e-03,2.8840315031e+00,5.0586554551e+01
8.0000000000e-01,4.6627367369e-03,3.0902954325e+00,4.7714642674e+01
8.0000000000e-01,4.9962124288e-03,3.3113112148e+00,4.4432418477e+01
8.0000000000e-01,5.3535380705e-03,3.5481338923e+00,4.0716373425e+01
8.0000000000e-01,5.7364193939e-03,3.8018939632e+00,3.6528372591e+01
8.0000000000e-01,6.1466841235e-03,4.0738027780e+00,3.1837417809e+01
8.0000000000e-01,6.5862907015e-03,4.3651583224e+00,2.6607840251e+01
8.0000000000e-01,7.0573376366e-03,4.6773514129e+00,2.0806336216e+01
8.0000000000e-01,7.5620735212e-03,5.0118723363e+00,1.4390961384e+01
8.0000000000e-01,8.1029077656e-03,5.3703179637e+00,7.3231637188e+00
8.0000000000e-01,8.6824220994e-03,5.7543993734e+00,-4.3829004252e-01
8.0000000000e-01,9.3033828957e-03,6.1659500186e+00,-8.9358552794e+00
8.0000000000e-01,9.9687543768e-03,6.6069344801e+00,-1.8213393478e+01
8.0000000000e-01,1.0681712764e-02,7.0794578438e+00,-2.8316145319e+01
8.0000000000e-01,1.1445661439e-02,7.5857757503e+00,-3.9291299944e+01
8.0000000000e-01,1.2264247194e-02,8.1283051616e+00,-5.1188109953e+01
8.0000000000e-01,1.3141377632e-02,8.7096358996e+00,-6.4061015180e+01
8.0000000000e-01,1.4081239830e-02,9.3325430080e+00,-7.7966869052e+01
5.0000000000e-01,1.5088320320e-05,1.0000000000e-02,2.4093945299e-01
5.0000000000e-01,1.6167426506e-05,1.0715193052e-02,2.5839592430e-01
5.0000000000e-01,1.7323709618e-05,1.1481536215e-02,2.7713462325e-01
5.0000000000e-01,1.8562689294e-05,1.2302687708e-02,2.9725236502e-01
5.0000000000e-01,1.9890279935e-05,1.3182567386e-02,3.1885367193e-01
5.0000000000e-01,2.1312818937e-05,1.4125375446e-02,3.4205144657e-01
5.0000000000e-01,2.2837096940e-05,1.5135612484e-02,3.6696771232e-01
5.0000000000e-01,2.4470390247e-05,1.6218100974e-02,3.9373442956e-01
5.0000000000e-01,2.6220495556e-05,1.7378008287e-02,4.2249439631e-01
5.0000000000e-01,2.8095767181e-05,1.8620871367e-02,4.5340224405e-01
5.0000000000e-01,3.0105156930e-05,1.9952623150e-02,4.8662554053e-01
5.0000000000e-01,3.2258256838e-05,2.1379620895e-02,5.2234601352e-01
5.0000000000e-01,3.4565344955e-05,2.2908676528e-02,5.6075947636e-01
5.0000000000e-01,3.7037434412e-05,2.4547089157e-02,6.0208262713e-01
5.0000000000e-01,3.9686325989e-05,2.6302679919e-02,6.4654753852e-01
5.0000000000e-01,4.2524664451e-05,2.8183829313e-02,6.9440791817e-01
5.0000000000e-01,4.5565998908e-05,3.0199517204e-02,7.4594024734e-01
5.0000000000e-01,4.8824847492e-05,3.2359365693e-02,8.0144617245e-01
5.0000000000e-01,5.2316766663e-05,3.4673685045e-02,8.6125519868e-01
5.0000000000e-01,5.6058425467e-05,3.7153522910e-02,9.2572773130e-01
5.0000000000e-01,6.0067685109e-05,3.9810717055e-02,9.9525851877e-01
5.0000000000e-01,6.4363684216e-05,4.2657951880e-02,1.0702805621e+00
5.0000000000e-01,6.8966930193e-05,4.5708818961e-02,1.1512695681e+00
5.0000000000e-01,7.3899397125e-05,4.8977881937e-02,1.2387490404e+00
5.0000000000e-01,7.9184630665e-05,5.2480746025e-02,1.3332961232e+00
5.0000000000e-01,8.4847860436e-05,5.6234132519e-02,1.4355256182e+00
5.0000000000e-01,9.0916120465e-05,6.0255958607e-02,1.5461869872e+00
5.0000000000e-01,9.7418378235e-05,6.4565422903e-02,1.6660440910e+00
5.0000000000e-01,1.0438567296e-04,6.9183097092e-02,1.7959681757e+00
5.0000000000e-01,1.1185126377e-04,7.4131024130e-02,1.9369302836e+00
5.0000000000e-01,1.1985078845e-04,7.9432823472e-02,2.0900154132e+00
5.0000000000e-01,1.2842243357e-04,8.5113803820e-02,2.2564391309e+00
5.0000000000e-01,1.3760711679e-04,9.1201083936e-02,2.4375671548e+00
5.0000000000e-01,1.4744868218e-04,9.7723722096e-02,2.6349171216e+00
5.0000000000e-01,1.5799410949e-04,1.0471285481e-01,2.8502659007e+00
5.0000000000e-01,1.6929373843e-04,1.1220184543e-01,3.0855754575e+00
5.0000000000e-01,1.8140150899e-04,1.2022644346e-01,3.3430941221e+00
5.0000000000e-01,1.9437521888e-04,1.2882495517e-01,3.6251944569e+00
5.0000000000e-01,2.0827679949e-04,1.3803842646e-01,3.9352487376e+00
5.0000000000e-01,2.2317261148e-04,1.4791083882e-01,4.2764726983e+00
5.0000000000e-01,2.3913376161e-04,1.5848931925e-01,4.6528179512e+00
5.0000000000e-01,2.5623644209e-04,1.6982436525e-01,5.0688582620e+00
5.0000000000e-01,2.7456229441e-04,1.8197008586e-01,5.5299056337e+00
5.0000000000e-01,2.9419879895e-04,1.9498445998e-01,6.0423629959e+00
5.0000000000e-01,3.1523969265e-04,2.0892961309e-01,6.6136980648e+00
5.0000000000e-01,3.3778541646e-04,2.2387211386e-01,7.2527722024e+00
5.0000000000e-01,3.6194359476e-04,2.3988329190e-01,7.9701715211e+00
5.0000000000e-01,3.8782954919e-04,2.5703957828e-01,8.7786451292e+00
5.0000000000e-01,4.1556684910e-04,2.7542287033e-01,9.6914402002e+00
5.0000000000e-01,4.4528790143e-04,2.9512092267e-01,1.0732276152e+01
5.0000000000e-01,4.7713458277e-04,3.1622776602e-01,1.1923027286e+01
5.0000000000e-01,5.1125891663e-04,3.3884415614e-01,1.3288884225e+01
5.0000000000e-01,5.4782379915e-04,3.6307805477e-01,1.4867242147e+01
5.0000000000e-01,5.8700377666e-04,3.8904514499e-01,1.6702068650e+01
5.0000000000e-01,6.2898587893e-04,4.1686938347e-01,1.8847850099e+01
5.0000000000e-01,6.7397051200e-04,4.4668359215e-01,2.1371769761e+01
5.0000000000e-01,7.2217241477e-04,4.7863009232e-01,2.4316113558e+01
5.0000000000e-01,7.7382168413e-04,5.1286138399e-01,2.7898192268e+01
5.0000000000e-01,8.2916487336e-04,5.4954087386e-01,3.2111791987e+01
5.0000000000e-01,8.8846616903e-04,5.8884365536e-01,3.7116026104e+01
5.0000000000e-01,9.5200865217e-04,6.3095734448e-01,4.3007268026e+01
5.0000000000e-01,1.0200956496e-03,6.7608297539e-01,4.9832789852e+01
5.0000000000e-01,1.0930521817e-03,7.2443596007e-01,5.7549315769e+01
5.0000000000e-01,1.1712265143e-03,7.7624711663e-01,6.5868135797e+01
5.0000000000e-01,1.2549918209e-03,8.3176377110e-01,7.4407019497e+01
5.0000000000e-01,1.3447479640e-03,8.9125093813e-01,8.2689185657e+01
5.0000000000e-01,1.4409234041e-03,9.5499258602e-01,9.0280573593e+01
5.0000000000e-01,1.5439772449e-03,1.0232929923e+00,9.6897127217e+01
