x,y,Ex,Ey
0,0,0,0
0,0.000923636,-11.6245,0
0,0.00184727,-23.2491,0
0,0.00277091,-4.60536,0
0,0.00369455,-16.055,0
0,0.00461818,-27.5046,0
0,0.00554182,-7.97402,0
0,0.00646545,-19.1754,0
0,0.00738909,-30.3768,0
0,0.00831273,-9.99132,0
0,0.00923636,-20.9811,0
0,0.01016,-31.9709,0
0.00108857,0,0,13.7003
0.00108857,0.000923636,-11.6245,13.7003
0.00108857,0.00184727,6.09976,46.3268
0.00108857,0.00277091,-4.60536,13.4942
0.00108857,0.00369455,-16.055,13.4942
0.00108857,0.00461818,2.74909,46.7873
0.00108857,0.00554182,-7.97402,13.2016
0.00108857,0.00646545,-19.1754,13.2016
0.00108857,0.00738909,0.750669,47.1407
0.00108857,0.00831273,-9.99132,12.9523
0.00108857,0.00923636,9.82212,47.5433
0.00108857,0.01016,0,47.5433
0.00217714,0,0,27.4007
0.00217714,0.000923636,16.5567,58.6511
0.00217714,0.00184727,6.09976,58.6511
0.00217714,0.00277091,-4.60536,26.9884
0.00217714,0.00369455,12.9939,58.8616
0.00217714,0.00461818,2.74909,58.8616
0.00217714,0.00554182,-7.97402,26.4033
0.00217714,0.00646545,10.7492,58.9247
0.00217714,0.00738909,0.750669,58.9247
0.00217714,0.00831273,19.6442,59.1194
0.00217714,0.00923636,9.82212,59.1194
0.00217714,0.01016,0,59.1194
0.00326571,0,0,69.0714
0.00326571,0.000923636,-6.14904,69.0714
0.00326571,0.00184727,-12.2981,69.0714
0.00326571,0.00277091,-2.5725,69.0413
0.00326571,0.00369455,-8.53073,69.0413
0.00326571,0.00461818,-14.489,69.0413
0.00326571,0.00554182,-4.36719,68.8163
0.00326571,0.00646545,-10.084,68.8163
0.00326571,0.00738909,-0.342678,85.7587
0.00326571,0.00831273,-5.20335,68.7872
0.00326571,0.00923636,-10.7078,68.7872
0.00326571,0.01016,0,85.8071
0.00435429,0,0,76.3185
0.00435429,0.000923636,-6.14904,76.3185
0.00435429,0.00184727,1.44114,89.6128
0.00435429,0.00277091,-2.5725,76.0635
0.00435429,0.00369455,-8.53073,76.0635
0.00435429,0.00461818,0.0702936,89.4801
0.00435429,0.00554182,-4.36719,75.554
0.00435429,0.00646545,2.58664,89.2111
0.00435429,0.00738909,-0.342678,89.2111
0.00435429,0.00831273,-5.20335,75.2746
0.00435429,0.00923636,2.74644,89.044
0.00435429,0.01016,0,89.044
0.00544286,0,0,83.5656
0.00544286,0.000923636,4.80657,93.5793
0.00544286,0.00184727,1.44114,93.5793
0.00544286,0.00277091,-2.5725,83.0857
0.00544286,0.00369455,3.22847,93.2023
0.00544286,0.00461818,0.0702936,93.2023
0.00544286,0.00554182,5.51596,92.6636
0.00544286,0.00646545,2.58664,92.6636
0.00544286,0.00738909,-0.342678,92.6636
0.00544286,0.00831273,5.49287,92.2808
0.00544286,0.00923636,2.74644,92.2808
0.00544286,0.01016,0,92.2808
0.00653143,0,0,92.1005
0.00653143,0.000923636,2.79477,92.1005
0.00653143,0.00184727,-4.79248,80.3081
0.00653143,0.00277091,0.145764,91.5176
0.00653143,0.00369455,3.10439,91.5176
0.00653143,0.00461818,-3.70457,79.6319
0.00653143,0.00554182,0.745686,90.7416
0.00653143,0.00646545,3.89646,90.7416
0.00653143,0.00738909,-2.06162,78.8304
0.00653143,0.00831273,1.90946,90.1516
0.00653143,0.00923636,5.23377,90.1516
0.00653143,0.01016,0,78.1168
0.00762,0,0,88.8066
0.00762,0.000923636,-10.3906,73.7103
0.00762,0.00184727,-4.79248,73.7103
0.00762,0.00277091,0.145764,88.0306
0.00762,0.00369455,-9.45431,72.8554
0.00762,0.00461818,-3.70457,72.8554
0.00762,0.00554182,0.745686,87.0282
0.00762,0.00646545,-7.97301,71.8634
0.00762,0.00738909,-2.06162,71.8634
0.00762,0.00831273,1.90946,86.2337
0.00762,0.00923636,-6.0473,70.9896
0.00762,0.01016,0,70.9896
0.00870857,0,0,66.4602
0.00870857,0.000923636,10.0261,66.4602
0.00870857,0.00184727,20.0522,66.4602
0.00870857,0.00277091,2.33424,65.4372
0.00870857,0.00369455,12.4397,65.4372
0.00870857,0.00461818,22.5452,65.4372
0.00870857,0.00554182,4.8328,64.2655
0.00870857,0.00646545,15.0268,64.2655
0.00870857,0.00738909,25.2208,64.2655
0.00870857,0.00831273,7.52289,63.2399
0.00870857,0.00923636,17.7962,63.2399
0.00870857,0.01016,0,31.5021
0.00979714,0,0,54.6437
0.00979714,0.000923636,10.0261,54.6437
0.00979714,0.00184727,-8.61528,21.8118
0.00979714,0.00277091,2.33424,53.5272
0.00979714,0.00369455,12.4397,53.5272
0.00979714,0.00461818,-5.90182,20.6313
0.00979714,0.00554182,4.8328,52.2511
0.00979714,0.00646545,15.0268,52.2511
0.00979714,0.00738909,-3.01205,19.3133
0.00979714,0.00831273,7.52289,51.132
0.00979714,0.00923636,-11.3559,18.1184
0.00979714,0.01016,0,18.1184
0.0108857,0,0,42.8272
0.0108857,0.000923636,-19.8462,8.57544
0.0108857,0.00184727,-8.61528,8.57544
0.0108857,0.00277091,2.33424,41.6171
0.0108857,0.00369455,-17.1771,7.34259
0.0108857,0.00461818,-5.90182,7.34259
0.0108857,0.00554182,4.8328,40.2368
0.0108857,0.00646545,-14.3317,5.97226
0.0108857,0.00738909,-3.01205,5.97226
0.0108857,0.00831273,-22.7118,4.73462
0.0108857,0.00923636,-11.3559,4.73462
0.0108857,0.01016,0,4.73462
0.0119743,0,0,-4.73462
0.0119743,0.000923636,11.3559,-4.73462
0.0119743,0.00184727,22.7118,-4.73462
0.0119743,0.00277091,3.01205,-5.97226
0.0119743,0.00369455,14.3317,-5.97226
0.0119743,0.00461818,-4.8328,-40.2368
0.0119743,0.00554182,5.90182,-7.34259
0.0119743,0.00646545,17.1771,-7.34259
0.0119743,0.00738909,-2.33424,-41.6171
0.0119743,0.00831273,8.61528,-8.57544
0.0119743,0.00923636,19.8462,-8.57544
0.0119743,0.01016,0,-42.8272
0.0130629,0,0,-18.1184
0.0130629,0.000923636,11.3559,-18.1184
0.0130629,0.00184727,-7.52289,-51.132
0.0130629,0.00277091,3.01205,-19.3133
0.0130629,0.00369455,-15.0268,-52.2511
0.0130629,0.00461818,-4.8328,-52.2511
0.0130629,0.00554182,5.90182,-20.6313
0.0130629,0.00646545,-12.4397,-53.5272
0.0130629,0.00738909,-2.33424,-53.5272
0.0130629,0.00831273,8.61528,-21.8118
0.0130629,0.00923636,-10.0261,-54.6437
0.0130629,0.01016,0,-54.6437
0.0141514,0,0,-31.5021
0.0141514,0.000923636,-17.7962,-63.2399
0.0141514,0.00184727,-7.52289,-63.2399
0.0141514,0.00277091,-25.2208,-64.2655
0.0141514,0.00369455,-15.0268,-64.2655
0.0141514,0.00461818,-4.8328,-64.2655
0.0141514,0.00554182,-22.5452,-65.4372
0.0141514,0.00646545,-12.4397,-65.4372
0.0141514,0.00738909,-2.33424,-65.4372
0.0141514,0.00831273,-20.0522,-66.4602
0.0141514,0.00923636,-10.0261,-66.4602
0.0141514,0.01016,0,-66.4602
0.01524,0,0,-70.9896
0.01524,0.000923636,6.0473,-70.9896
0.01524,0.00184727,-1.90946,-86.2337
0.01524,0.00277091,2.06162,-71.8634
0.01524,0.00369455,7.97301,-71.8634
0.01524,0.00461818,-0.745686,-87.0282
0.01524,0.00554182,3.70457,-72.8554
0.01524,0.00646545,9.45431,-72.8554
