x,y,Ex,Ey
0,0,0,0
0,0.000923636,21.5243,0
0,0.00184727,43.0486,0
0,0.00277091,21.6166,0
0,0.00369455,39.9557,0
0,0.00461818,58.2947,0
0,0.00554182,30.0825,0
0,0.00646545,43.6174,0
0,0.00738909,57.1523,0
0,0.00831273,23.6861,0
0,0.00923636,33.3852,0
0,0.01016,43.0844,0
0.00108857,0,0,-25.3679
0.00108857,0.000923636,21.5243,-25.3679
0.00108857,0.00184727,4.35335,-67.3534
0.00108857,0.00277091,21.6166,-21.6139
0.00108857,0.00369455,39.9557,-21.6139
0.00108857,0.00461818,16.6898,-65.2846
0.00108857,0.00554182,30.0825,-15.9518
0.00108857,0.00646545,43.6174,-15.9518
0.00108857,0.00738909,14.162,-60.2456
0.00108857,0.00831273,23.6861,-11.4311
0.00108857,0.00923636,-6.37055,-55.9781
0.00108857,0.01016,0,-55.9781
0.00217714,0,0,-50.7359
0.00217714,0.000923636,-12.5514,-87.2768
0.00217714,0.00184727,4.35335,-87.2768
0.00217714,0.00277091,21.6166,-43.2277
0.00217714,0.00369455,3.43915,-80.9014
0.00217714,0.00461818,16.6898,-80.9014
0.00217714,0.00554182,30.0825,-31.9037
0.00217714,0.00646545,5.16324,-70.8513
0.00217714,0.00738909,14.162,-70.8513
0.00217714,0.00831273,-12.7411,-63.4862
0.00217714,0.00923636,-6.37055,-63.4862
0.00217714,0.01016,0,-63.4862
0.00326571,0,0,-101.134
0.00326571,0.000923636,3.17839,-101.134
0.00326571,0.00184727,6.35679,-101.134
0.00326571,0.00277091,6.10007,-91.1947
0.00326571,0.00369455,7.30565,-91.1947
0.00326571,0.00461818,8.51124,-91.1947
0.00326571,0.00554182,6.85417,-76.8941
0.00326571,0.00646545,5.52897,-76.8941
0.00326571,0.00738909,6.69575,-73.1667
0.00326571,0.00831273,2.50708,-66.7527
0.00326571,0.00923636,-0.71978,-66.7527
0.00326571,0.01016,0,-60.316
0.00435429,0,0,-104.88
0.00435429,0.000923636,3.17839,-104.88
0.00435429,0.00184727,9.25612,-95.568
