x,y,Ex,Ey
0,0,0,0
0,0.000923636,-8.11613e-14,0
0,0.00184727,-1.62323e-13,0
0,0.00277091,-86.528,0
0,0.00369455,-86.528,0
0,0.00461818,-86.528,0
0,0.00554182,-48.7572,0
0,0.00646545,-48.7572,0
0,0.00738909,-48.7572,0
0,0.00831273,-56.3778,0
0,0.00923636,-56.3778,0
0,0.01016,-56.3778,0
0.00108857,0,0,9.56543e-14
0.00108857,0.000923636,-8.11613e-14,9.56543e-14
0.00108857,0.00184727,-86.528,-97.3441
0.00108857,0.00277091,-86.528,9.23706e-14
0.00108857,0.00369455,-86.528,9.23706e-14
0.00108857,0.00461818,-48.7572,42.4922
0.00108857,0.00554182,-48.7572,1.03029e-13
0.00108857,0.00646545,-48.7572,1.03029e-13
0.00108857,0.00738909,-56.3778,-8.57318
0.00108857,0.00831273,-56.3778,6.03961e-14
0.00108857,0.00923636,8.88178e-14,63.4251
0.00108857,0.01016,0,63.4251
0.00217714,0,0,1.91309e-13
0.00217714,0.000923636,-86.528,-97.3441
0.00217714,0.00184727,-86.528,-97.3441
0.00217714,0.00277091,-86.528,1.84741e-13
0.00217714,0.00369455,-48.7572,42.4922
0.00217714,0.00461818,-48.7572,42.4922
0.00217714,0.00554182,-48.7572,2.06057e-13
0.00217714,0.00646545,-56.3778,-8.57318
0.00217714,0.00738909,-56.3778,-8.57318
0.00217714,0.00831273,1.77636e-13,63.4251
0.00217714,0.00923636,8.88178e-14,63.4251
0.00217714,0.01016,0,63.4251
0.00326571,0,0,-97.3441
0.00326571,0.000923636,-7.10543e-14,-97.3441
0.00326571,0.00184727,-1.42109e-13,-97.3441
0.00326571,0.00277091,19.0693,42.4922
0.00326571,0.00369455,19.0693,42.4922
0.00326571,0.00461818,19.0693,42.4922
0.00326571,0.00554182,92.9018,-8.57318
0.00326571,0.00646545,92.9018,-8.57318
0.00326571,0.00738909,79.7945,-23.3189
0.00326571,0.00831273,79.7945,63.4251
0.00326571,0.00923636,79.7945,63.4251
0.00326571,0.01016,0,-26.3438
0.00435429,0,0,-97.3441
0.00435429,0.000923636,-7.10543e-14,-97.3441
0.00435429,0.00184727,19.0693,-75.8911
0.00435429,0.00277091,19.0693,42.4922
0.00435429,0.00369455,19.0693,42.4922
0.00435429,0.00461818,92.9018,125.554
0.00435429,0.00554182,92.9018,-8.57318
0.00435429,0.00646545,79.7945,-23.3189
0.00435429,0.00738909,79.7945,-23.3189
0.00435429,0.00831273,79.7945,63.4251
0.00435429,0.00923636,9.76996e-14,-26.3438
0.00435429,0.01016,0,-26.3438
0.00544286,0,0,-97.3441
0.00544286,0.000923636,19.0693,-75.8911
0.00544286,0.00184727,19.0693,-75.8911
0.00544286,0.00277091,19.0693,42.4922
0.00544286,0.00369455,92.9018,125.554
0.00544286,0.00461818,92.9018,125.554
0.00544286,0.00554182,79.7945,-23.3189
0.00544286,0.00646545,79.7945,-23.3189
0.00544286,0.00738909,79.7945,-23.3189
0.00544286,0.00831273,1.95399e-13,-26.3438
0.00544286,0.00923636,9.76996e-14,-26.3438
0.00544286,0.01016,0,-26.3438
0.00653143,0,0,-75.8911
0.00653143,0.000923636,-2.13163e-14,-75.8911
0.00653143,0.00184727,88.971,24.2013
0.00653143,0.00277091,88.971,125.554
0.00653143,0.00369455,88.971,125.554
0.00653143,0.00461818,0.0695157,25.5396
0.00653143,0.00554182,0.0695157,-23.3189
0.00653143,0.00646545,0.0695157,-23.3189
0.00653143,0.00738909,-39.2184,-67.5178
0.00653143,0.00831273,-39.2184,-26.3438
0.00653143,0.00923636,-39.2184,-26.3438
0.00653143,0.01016,0,17.7769
0.00762,0,0,-75.8911
0.00762,0.000923636,88.971,24.2013
0.00762,0.00184727,88.971,24.2013
0.00762,0.00277091,88.971,125.554
0.00762,0.00369455,0.0695157,25.5396
0.00762,0.00461818,0.0695157,25.5396
0.00762,0.00554182,0.0695157,-23.3189
0.00762,0.00646545,-39.2184,-67.5178
0.00762,0.00738909,-39.2184,-67.5178
0.00762,0.00831273,-39.2184,-26.3438
0.00762,0.00923636,3.28626e-14,17.7769
0.00762,0.01016,0,17.7769
0.00870857,0,0,24.2013
0.00870857,0.000923636,2.04281e-14,24.2013
0.00870857,0.00184727,4.08562e-14,24.2013
0.00870857,0.00277091,0.674265,25.5396
0.00870857,0.00369455,0.674265,25.5396
0.00870857,0.00461818,0.674265,25.5396
0.00870857,0.00554182,41.1087,-67.5178
0.00870857,0.00646545,41.1087,-67.5178
0.00870857,0.00738909,41.1087,-67.5178
0.00870857,0.00831273,44.912,17.7769
0.00870857,0.00923636,44.912,17.7769
0.00870857,0.01016,0,-32.749
0.00979714,0,0,24.2013
0.00979714,0.000923636,2.04281e-14,24.2013
0.00979714,0.00184727,0.674265,24.9598
0.00979714,0.00277091,0.674265,25.5396
0.00979714,0.00369455,0.674265,25.5396
0.00979714,0.00461818,41.1087,71.0283
0.00979714,0.00554182,41.1087,-67.5178
0.00979714,0.00646545,41.1087,-67.5178
0.00979714,0.00738909,44.912,-63.2391
0.00979714,0.00831273,44.912,17.7769
0.00979714,0.00923636,7.10543e-15,-32.749
0.00979714,0.01016,0,-32.749
0.0108857,0,0,24.2013
0.0108857,0.000923636,0.674265,24.9598
0.0108857,0.00184727,0.674265,24.9598
0.0108857,0.00277091,0.674265,25.5396
0.0108857,0.00369455,41.1087,71.0283
0.0108857,0.00461818,41.1087,71.0283
0.0108857,0.00554182,41.1087,-67.5178
0.0108857,0.00646545,44.912,-63.2391
0.0108857,0.00738909,44.912,-63.2391
0.0108857,0.00831273,1.42109e-14,-32.749
0.0108857,0.00923636,7.10543e-15,-32.749
0.0108857,0.01016,0,-32.749
0.0119743,0,0,24.9598
0.0119743,0.000923636,1.77636e-14,24.9598
0.0119743,0.00184727,3.55271e-14,24.9598
0.0119743,0.00277091,29.1287,71.0283
0.0119743,0.00369455,29.1287,71.0283
0.0119743,0.00461818,-78.4867,-50.039
0.0119743,0.00554182,-78.4867,-63.2391
0.0119743,0.00646545,-78.4867,-63.2391
0.0119743,0.00738909,-3.11644,21.5524
0.0119743,0.00831273,-3.11644,-32.749
0.0119743,0.00923636,-3.11644,-32.749
0.0119743,0.01016,0,-29.243
0.0130629,0,0,24.9598
0.0130629,0.000923636,1.77636e-14,24.9598
0.0130629,0.00184727,29.1287,57.7296
0.0130629,0.00277091,29.1287,71.0283
0.0130629,0.00369455,-78.4867,-50.039
0.0130629,0.00461818,-78.4867,-50.039
0.0130629,0.00554182,-78.4867,-63.2391
0.0130629,0.00646545,-3.11644,21.5524
0.0130629,0.00738909,-3.11644,21.5524
0.0130629,0.00831273,-3.11644,-32.749
0.0130629,0.00923636,-8.88178e-15,-29.243
0.0130629,0.01016,0,-29.243
0.0141514,0,0,24.9598
0.0141514,0.000923636,29.1287,57.7296
0.0141514,0.00184727,29.1287,57.7296
0.0141514,0.00277091,-78.4867,-50.039
0.0141514,0.00369455,-78.4867,-50.039
0.0141514,0.00461818,-78.4867,-50.039
0.0141514,0.00554182,-3.11644,21.5524
0.0141514,0.00646545,-3.11644,21.5524
0.0141514,0.00738909,-3.11644,21.5524
0.0141514,0.00831273,-1.77636e-14,-29.243
0.0141514,0.00923636,-8.88178e-15,-29.243
0.0141514,0.01016,0,-29.243
0.01524,0,0,57.7296
0.01524,0.000923636,1.42109e-14,57.7296
0.01524,0.00184727,-10.8435,45.5306
0.01524,0.00277091,-10.8435,-50.039
0.01524,0.00369455,-10.8435,-50.039
0.01524,0.00461818,57.8502,27.2415
0.01524,0.00554182,57.8502,21.5524
0.01524,0.00646545,57.8502,21.5524
0.01524,0.00738909,12.5447,-29.4162
0.01524,0.00831273,12.5447,-29.243
0.01524,0.00923636,12.5447,-29.243
0.01524,0.01016,-8.83524e-29,-43.3559
0.0163286,0,0,57.7296
0.0163286,0.000923636,-10.8435,45.5306
0.0163286,0.00184727,-10.8435,45.5306
0.0163286,0.00277091,-10.8435,-50.039
0.0163286,0.00369455,57.8502,27.2415
0.0163286,0.00461818,57.8502,27.2415
0.0163286,0.00554182,57.8502,21.5524
0.0163286,0.00646545,12.5447,-29.4162
0.0163286,0.00738909,12.5447,-29.4162
0.0163286,0.00831273,12.5447,-29.243
0.0163286,0.00923636,-6.75016e-14,-43.3559
0.0163286,0.01016,-8.83524e-29,-43.3559
0.0174171,0,0,45.5306
0.0174171,0.000923636,3.01981e-14,45.5306
0.0174171,0.00184727,6.03961e-14,45.5306
0.0174171,0.00277091,-72.8495,27.2415
0.0174171,0.00369455,-72.8495,27.2415
0.0174171,0.00461818,-72.8495,27.2415
0.0174171,0.00554182,-76.8074,-29.4162
0.0174171,0.00646545,-76.8074,-29.4162
0.0174171,0.00738909,-12.0729,43.4102
0.0174171,0.00831273,-12.0729,-43.3559
0.0174171,0.00923636,-12.0729,-43.3559
0.0174171,0.01016,4.03897e-28,-29.7739
0.0185057,0,0,45.5306
0.0185057,0.000923636,3.01981e-14,45.5306
0.0185057,0.00184727,-72.8495,-36.4251
0.0185057,0.00277091,-72.8495,27.2415
0.0185057,0.00369455,-72.8495,27.2415
0.0185057,0.00461818,-76.8074,22.7888
0.0185057,0.00554182,-76.8074,-29.4162
0.0185057,0.00646545,-12.0729,43.4102
0.0185057,0.00738909,-12.0729,43.4102
0.0185057,0.00831273,-12.0729,-43.3559
0.0185057,0.00923636,-7.99361e-14,-29.7739
0.0185057,0.01016,4.03897e-28,-29.7739
0.0195943,0,0,45.5306
0.0195943,0.000923636,-72.8495,-36.4251
0.0195943,0.00184727,-72.8495,-36.4251
0.0195943,0.00277091,-72.8495,27.2415
0.0195943,0.00369455,-76.8074,22.7888
0.0195943,0.00461818,-76.8074,22.7888
0.0195943,0.00554182,-12.0729,43.4102
0.0195943,0.00646545,-12.0729,43.4102
0.0195943,0.00738909,-12.0729,43.4102
0.0195943,0.00831273,-1.56319e-13,-29.7739
0.0195943,0.00923636,-7.99361e-14,-29.7739
0.0195943,0.01016,4.03897e-28,-29.7739
0.0206829,0,0,-36.4251
0.0206829,0.000923636,-4.08562e-14,-36.4251
0.0206829,0.00184727,-8.17124e-14,-36.4251
0.0206829,0.00277091,32.3778,22.7888
0.0206829,0.00369455,32.3778,22.7888
0.0206829,0.00461818,12.1212,2.13163e-13
0.0206829,0.00554182,12.1212,43.4102
0.0206829,0.00646545,12.1212,43.4102
0.0206829,0.00738909,-26.4657,2.59348e-13
0.0206829,0.00831273,-26.4657,-29.7739
0.0206829,0.00923636,-26.4657,-29.7739
0.0206829,0.01016,-5.5695e-28,2.55664e-13
0.0217714,0,0,-36.4251
0.0217714,0.000923636,-4.08562e-14,-36.4251
0.0217714,0.00184727,32.3778,4.44089e-14
0.0217714,0.00277091,32.3778,22.7888
0.0217714,0.00369455,12.1212,1.06581e-13
0.0217714,0.00461818,12.1212,1.06581e-13
0.0217714,0.00554182,12.1212,43.4102
0.0217714,0.00646545,-26.4657,1.29674e-13
