x,y,Ex,Ey
0,0,0,0
0,0.000923636,-1.73373e-14,0
0,0.00184727,-3.46745e-14,0
0,0.00277091,43.263,0
0,0.00369455,43.263,0
0,0.00461818,43.263,0
0,0.00554182,-21.5094,0
0,0.00646545,-21.5094,0
0,0.00738909,-21.5094,0
0,0.00831273,25.7251,0
0,0.00923636,25.7251,0
0,0.01016,25.7251,0
0.00108857,0,0,2.04332e-14
0.00108857,0.000923636,-1.73373e-14,2.04332e-14
0.00108857,0.00184727,43.263,48.6709
0.00108857,0.00277091,43.263,-1.06581e-14
0.00108857,0.00369455,43.263,-1.06581e-14
0.00108857,0.00461818,-21.5094,-72.869
0.00108857,0.00554182,-21.5094,1.24345e-14
0.00108857,0.00646545,-21.5094,1.24345e-14
0.00108857,0.00738909,25.7251,53.1388
0.00108857,0.00831273,25.7251,-2.13163e-14
0.00108857,0.00923636,3.55271e-15,-28.9407
0.00108857,0.01016,0,-28.9407
0.00217714,0,0,4.08664e-14
0.00217714,0.000923636,43.263,48.6709
0.00217714,0.00184727,43.263,48.6709
0.00217714,0.00277091,43.263,-2.13163e-14
0.00217714,0.00369455,-21.5094,-72.869
0.00217714,0.00461818,-21.5094,-72.869
0.00217714,0.00554182,-21.5094,2.4869e-14
0.00217714,0.00646545,25.7251,53.1388
0.00217714,0.00738909,25.7251,53.1388
0.00217714,0.00831273,7.10543e-15,-28.9407
0.00217714,0.00923636,3.55271e-15,-28.9407
0.00217714,0.01016,0,-28.9407
0.00326571,0,0,48.6709
0.00326571,0.000923636,-4.08562e-14,48.6709
0.00326571,0.00184727,-8.17124e-14,48.6709
0.00326571,0.00277091,-75.3848,-72.869
0.00326571,0.00369455,-75.3848,-72.869
0.00326571,0.00461818,-75.3848,-72.869
0.00326571,0.00554182,-73.0313,53.1388
0.00326571,0.00646545,-73.0313,53.1388
0.00326571,0.00738909,-67.2345,59.6602
0.00326571,0.00831273,-67.2345,-28.9407
0.00326571,0.00923636,-67.2345,-28.9407
0.00326571,0.01016,0,46.698
0.00435429,0,0,48.6709
0.00435429,0.000923636,-4.08562e-14,48.6709
0.00435429,0.00184727,-75.3848,-36.1369
0.00435429,0.00277091,-75.3848,-72.869
0.00435429,0.00369455,-75.3848,-72.869
0.00435429,0.00461818,-73.0313,-70.2213
0.00435429,0.00554182,-73.0313,53.1388
0.00435429,0.00646545,-67.2345,59.6602
0.00435429,0.00738909,-67.2345,59.6602
0.00435429,0.00831273,-67.2345,-28.9407
0.00435429,0.00923636,-5.68434e-14,46.698
0.00435429,0.01016,0,46.698
0.00544286,0,0,48.6709
0.00544286,0.000923636,-75.3848,-36.1369
0.00544286,0.00184727,-75.3848,-36.1369
0.00544286,0.00277091,-75.3848,-72.869
0.00544286,0.00369455,-73.0313,-70.2213
0.00544286,0.00461818,-73.0313,-70.2213
0.00544286,0.00554182,-67.2345,59.6602
0.00544286,0.00646545,-67.2345,59.6602
0.00544286,0.00738909,-67.2345,59.6602
0.00544286,0.00831273,-1.1724e-13,46.698
0.00544286,0.00923636,-5.68434e-14,46.698
0.00544286,0.01016,0,46.698
0.00653143,0,0,-36.1369
0.00653143,0.000923636,0,-36.1369
0.00653143,0.00184727,31.9632,-0.178358
0.00653143,0.00277091,31.9632,-70.2213
0.00653143,0.00369455,31.9632,-70.2213
0.00653143,0.00461818,55.6336,-43.5921
0.00653143,0.00554182,55.6336,59.6602
0.00653143,0.00646545,55.6336,59.6602
0.00653143,0.00738909,-4.87464,-8.41157
0.00653143,0.00831273,-4.87464,46.698
0.00653143,0.00923636,-4.87464,46.698
0.00653143,0.01016,0,52.182
0.00762,0,0,-36.1369
0.00762,0.000923636,31.9632,-0.178358
0.00762,0.00184727,31.9632,-0.178358
0.00762,0.00277091,31.9632,-70.2213
0.00762,0.00369455,55.6336,-43.5921
0.00762,0.00461818,55.6336,-43.5921
0.00762,0.00554182,55.6336,59.6602
0.00762,0.00646545,-4.87464,-8.41157
0.00762,0.00738909,-4.87464,-8.41157
0.00762,0.00831273,-4.87464,46.698
0.00762,0.00923636,-4.26326e-14,52.182
0.00762,0.01016,0,52.182
0.00870857,0,0,-0.178358
0.00870857,0.000923636,-1.12688e-14,-0.178358
0.00870857,0.00184727,-2.25375e-14,-0.178358
0.00870857,0.00277091,0.717795,-43.5921
0.00870857,0.00369455,0.717795,-43.5921
0.00870857,0.00461818,0.717795,-43.5921
0.00870857,0.00554182,42.435,-8.41157
0.00870857,0.00646545,42.435,-8.41157
0.00870857,0.00738909,42.435,-8.41157
0.00870857,0.00831273,23.2016,52.182
0.00870857,0.00923636,23.2016,52.182
0.00870857,0.01016,0,26.0802
0.00979714,0,0,-0.178358
0.00979714,0.000923636,-1.12688e-14,-0.178358
0.00979714,0.00184727,0.717795,0.629162
0.00979714,0.00277091,0.717795,-43.5921
0.00979714,0.00369455,0.717795,-43.5921
0.00979714,0.00461818,42.435,3.33975
0.00979714,0.00554182,42.435,-8.41157
0.00979714,0.00646545,42.435,-8.41157
0.00979714,0.00738909,23.2016,-30.0492
0.00979714,0.00831273,23.2016,52.182
0.00979714,0.00923636,3.90799e-14,26.0802
0.00979714,0.01016,0,26.0802
0.0108857,0,0,-0.178358
0.0108857,0.000923636,0.717795,0.629162
0.0108857,0.00184727,0.717795,0.629162
0.0108857,0.00277091,0.717795,-43.5921
0.0108857,0.00369455,42.435,3.33975
0.0108857,0.00461818,42.435,3.33975
0.0108857,0.00554182,42.435,-8.41157
0.0108857,0.00646545,23.2016,-30.0492
0.0108857,0.00738909,23.2016,-30.0492
0.0108857,0.00831273,7.81597e-14,26.0802
0.0108857,0.00923636,3.90799e-14,26.0802
0.0108857,0.01016,0,26.0802
0.0119743,0,0,0.629162
0.0119743,0.000923636,-2.04836e-14,0.629162
0.0119743,0.00184727,-4.09672e-14,0.629162
0.0119743,0.00277091,15.401,3.33975
0.0119743,0.00369455,15.401,3.33975
0.0119743,0.00461818,14.5494,2.38171
0.0119743,0.00554182,14.5494,-30.0492
0.0119743,0.00646545,14.5494,-30.0492
0.0119743,0.00738909,16.7408,-27.5838
0.0119743,0.00831273,16.7408,26.0802
0.0119743,0.00923636,16.7408,26.0802
0.0119743,0.01016,0,7.24687
0.0130629,0,0,0.629162
0.0130629,0.000923636,-2.04836e-14,0.629162
0.0130629,0.00184727,15.401,17.9552
0.0130629,0.00277091,15.401,3.33975
0.0130629,0.00369455,14.5494,2.38171
0.0130629,0.00461818,14.5494,2.38171
0.0130629,0.00554182,14.5494,-30.0492
0.0130629,0.00646545,16.7408,-27.5838
0.0130629,0.00738909,16.7408,-27.5838
0.0130629,0.00831273,16.7408,26.0802
0.0130629,0.00923636,-5.77316e-15,7.24687
0.0130629,0.01016,0,7.24687
0.0141514,0,0,0.629162
0.0141514,0.000923636,15.401,17.9552
0.0141514,0.00184727,15.401,17.9552
0.0141514,0.00277091,14.5494,2.38171
0.0141514,0.00369455,14.5494,2.38171
0.0141514,0.00461818,14.5494,2.38171
0.0141514,0.00554182,16.7408,-27.5838
0.0141514,0.00646545,16.7408,-27.5838
0.0141514,0.00738909,16.7408,-27.5838
0.0141514,0.00831273,-1.15463e-14,7.24687
0.0141514,0.00923636,-5.77316e-15,7.24687
0.0141514,0.01016,0,7.24687
0.01524,0,0,17.9552
0.01524,0.000923636,-5.86198e-14,17.9552
0.01524,0.00184727,-7.10014,9.96759
0.01524,0.00277091,-7.10014,2.38171
0.01524,0.00369455,-7.10014,2.38171
0.01524,0.00461818,80.336,100.747
0.01524,0.00554182,80.336,-27.5838
0.01524,0.00646545,80.336,-27.5838
0.01524,0.00738909,65.5607,-44.206
0.01524,0.00831273,65.5607,7.24687
0.01524,0.00923636,65.5607,7.24687
0.01524,0.01016,9.46633e-30,-66.5089
0.0163286,0,0,17.9552
0.0163286,0.000923636,-7.10014,9.96759
0.0163286,0.00184727,-7.10014,9.96759
0.0163286,0.00277091,-7.10014,2.38171
0.0163286,0.00369455,80.336,100.747
0.0163286,0.00461818,80.336,100.747
0.0163286,0.00554182,80.336,-27.5838
0.0163286,0.00646545,65.5607,-44.206
0.0163286,0.00738909,65.5607,-44.206
0.0163286,0.00831273,65.5607,7.24687
0.0163286,0.00923636,7.10543e-15,-66.5089
0.0163286,0.01016,9.46633e-30,-66.5089
0.0174171,0,0,9.96759
0.0174171,0.000923636,4.13003e-14,9.96759
0.0174171,0.00184727,8.26006e-14,9.96759
0.0174171,0.00277091,-87.668,100.747
0.0174171,0.00369455,-87.668,100.747
0.0174171,0.00461818,-87.668,100.747
0.0174171,0.00554182,-64.4236,-44.206
0.0174171,0.00646545,-64.4236,-44.206
0.0174171,0.00738909,-78.6983,-60.265
0.0174171,0.00831273,-78.6983,-66.5089
0.0174171,0.00923636,-78.6983,-66.5089
0.0174171,0.01016,3.21855e-28,22.0267
0.0185057,0,0,9.96759
0.0185057,0.000923636,4.13003e-14,9.96759
0.0185057,0.00184727,-87.668,-88.6589
0.0185057,0.00277091,-87.668,100.747
0.0185057,0.00369455,-87.668,100.747
0.0185057,0.00461818,-64.4236,126.897
0.0185057,0.00554182,-64.4236,-44.206
0.0185057,0.00646545,-78.6983,-60.265
0.0185057,0.00738909,-78.6983,-60.265
0.0185057,0.00831273,-78.6983,-66.5089
