x,y,Ex,Ey
0,0,0,0
0,0.0454545,0,0
0,0.0909091,0,0
0,0.136364,0,-0.0353682
0,0.181818,0,-0.0539965
0,0.227273,0,-0.0726249
0,0.272727,0,-0.340173
0,0.318182,0,-0.2585
0,0.363636,0,-0.176827
0,0.409091,0,-0.500325
0,0.454545,0,-0.404547
0,0.5,0,-0.308769
0.047619,0,0,0
0.047619,0.0454545,0,0
0.047619,0.0909091,0.0412538,-0.0379301
0.047619,0.136364,0.0116995,-0.0275706
0.047619,0.181818,0.0116995,-0.0461989
0.047619,0.227273,0.052197,0.0648848
0.047619,0.272727,0.145146,-0.209923
0.047619,0.318182,0.145146,-0.12825
0.047619,0.363636,0.0979303,0.167366
0.047619,0.409091,0.217965,-0.326469
0.047619,0.454545,0.207078,-0.129418
0.047619,0.5,0.287856,-0.287856
0.0952381,0,0,0
0.0952381,0.0454545,0.0619601,-0.0581045
0.0952381,0.0909091,0.159506,-0.144483
0.0952381,0.136364,0.023399,-0.019773
0.0952381,0.181818,0.0478836,0.0811063
0.0952381,0.227273,0.0922787,0.151806
0.0952381,0.272727,0.290293,-0.0796723
0.0952381,0.318182,0.0750422,0.188859
0.0952381,0.363636,0.122948,0.305822
0.0952381,0.409091,0.105388,0.0499333
0.0952381,0.454545,0.186166,-0.108505
0.0952381,0.5,0.266943,-0.266943
0.142857,0,-0.0369841,0
0.142857,0.0454545,-0.13453,-0.0842441
0.142857,0.0909091,-0.232076,-0.168488
0.142857,0.136364,-0.0240953,-0.0230412
0.142857,0.181818,-0.0684903,-0.010489
0.142857,0.227273,-0.112885,0.00206319
0.142857,0.272727,-0.0503213,0.0269759
0.142857,0.318182,-0.0982266,0.0188204
0.142857,0.363636,-0.00418348,-0.00548195
0.142857,0.409091,-0.10043,-0.186934
0.142857,0.454545,-0.181207,-0.330332
0.142857,0.5,0.429449,-0.429449
0.190476,0,-0.0334174,0
0.190476,0.0454545,-0.130963,-0.0842441
0.190476,0.0909091,0.144351,-0.0778579
0.190476,0.136364,-0.0122437,-0.0111896
0.190476,0.181818,-0.0566387,0.0013626
0.190476,0.227273,0.0210102,-0.0519855
0.190476,0.272727,-0.0704511,0.0146465
0.190476,0.318182,-0.00141271,-0.0112232
0.190476,0.363636,0.000345084,-0.0189333
0.190476,0.409091,-0.122062,-0.228037
0.190476,0.454545,0.282586,-0.150869
0.190476,0.5,0.352473,-0.352473
0.238095,0,-0.0298506,0
0.238095,0.0454545,0.0694187,0.0815467
0.238095,0.0909091,0.0998301,-0.0283151
0.238095,0.136364,-0.000392138,0.000662013
0.238095,0.181818,0.0194602,-0.0512886
0.238095,0.227273,0.0294112,-0.0848255
0.238095,0.272727,0.00135806,-0.0169645
0.238095,0.318182,0.00311586,-0.0246746
0.238095,0.363636,0.00487365,-0.0323847
0.238095,0.409091,0.135722,0.127711
0.238095,0.454545,0.205609,-0.0738924
0.238095,0.5,0.275496,-0.275496
0.285714,0,-0.0514499,0
0.285714,0.0454545,-0.0818613,-0.160555
0.285714,0.0909091,0.275978,-0.152983
0.285714,0.136364,0.0374328,-0.144881
0.285714,0.181818,0.0274818,-0.123441
0.285714,0.227273,0.108784,-0.0710878
0.285714,0.272727,0.00736385,-0.0875313
0.285714,0.318182,0.00560606,-0.123814
0.285714,0.363636,0.143458,-0.080919
0.285714,0.409091,-0.111624,-0.384334
0.285714,0.454545,-0.181511,-0.568269
0.285714,0.5,0.64128,-0.64128
0.333333,0,-0.0828803,0
0.333333,0.0454545,0.154529,0.13246
0.333333,0.0909091,0.181719,0.0169216
0.333333,0.136364,0.102822,-0.0743637
0.333333,0.181818,0.0887103,-0.00796822
0.333333,0.227273,0.123844,-0.0602699
0.333333,0.272727,0.0205026,-0.0743926
0.333333,0.318182,0.130215,-0.0341789
0.333333,0.363636,0.182359,-0.0804279
0.333333,0.409091,-0.105152,-0.400887
0.333333,0.454545,0.42016,-0.205011
0.333333,0.5,0.509935,-0.509935
0.380952,0,-0.0592733,0
0.380952,0.0454545,-0.0864629,-0.33695
0.380952,0.0909091,-0.113653,-0.673901
0.380952,0.136364,-0.0410089,-0.904805
0.380952,0.181818,-0.0761425,-0.977911
0.380952,0.227273,-0.111276,-1.05102
0.380952,0.272727,-0.0857693,-1.2
0.380952,0.318182,-0.137913,-1.38401
0.380952,0.363636,-0.190057,-1.56803
0.380952,0.409091,-0.192844,-1.50461
0.380952,0.454545,-0.282619,-1.82435
0.380952,0.5,2.15313,-2.15313
0.428571,0,-0.174556,0
0.428571,0.0454545,-0.201746,-0.33695
0.428571,0.0909091,0.321009,0.0726648
0.428571,0.136364,0.164952,-0.606437
0.428571,0.181818,0.129818,-0.679543
0.428571,0.227273,0.528524,0.00817409
0.428571,0.272727,0.124954,-0.921684
0.428571,0.318182,0.0728097,-1.1057
0.428571,0.363636,1.13362,-0.466939
0.428571,0.409091,-0.0119283,-1.32369
0.428571,0.454545,1.70242,-1.17112
0.428571,0.5,2.04454,-2.04454
0.47619,0,-0.289839,0
0.47619,0.0454545,0.174335,0.571951
0.47619,0.0909091,0.205412,0.532834
0.47619,0.136364,0.370912,-0.308069
0.47619,0.181818,0.42226,0.464223
0.47619,0.227273,0.527725,0.37078
0.47619,0.272727,0.335677,-0.643371
0.47619,0.318182,0.991195,0.0636148
0.47619,0.363636,1.23652,-0.244335
0.47619,0.409091,1.25171,-0.189112
0.47619,0.454545,1.59384,-1.06253
0.47619,0.5,1.93596,-1.93596
0.52381,0,-0.367414,0
0.52381,0.0454545,-0.39849,-1.1387
0.52381,0.0909091,-0.429567,-2.27741
0.52381,0.136364,0.00647481,-3.90394
0.52381,0.181818,-0.0989901,-4.45679
0.52381,0.227273,2.15996,-0.479688
0.52381,0.272727,-0.141044,-5.08858
0.52381,0.318182,-0.386373,-5.00839
0.52381,0.363636,2.48397,-0.681029
0.52381,0.409091,-0.467709,-3.53559
0.52381,0.454545,-0.80983,-2.70454
0.52381,0.5,1.72937,-1.72937
0.571429,0,-0.931321,0
0.571429,0.0454545,-0.962397,-1.1387
0.571429,0.0909091,0.929877,1.23931
0.571429,0.136364,0.652214,-2.48452
0.571429,0.181818,1.56133,2.0649
0.571429,0.227273,1.7499,1.8165
0.571429,0.272727,1.17151,-3.35452
0.571429,0.318182,1.18098,2.43301
0.571429,0.363636,1.12353,1.87958
0.571429,0.409091,0.991715,-2.04097
0.571429,0.454545,0.227305,1.00652
0.571429,0.5,-0.0534987,0.0534987
0.619048,0,-1.49523,0
0.619048,0.0454545,1.18523,2.1989
0.619048,0.0909091,1.40822,2.43827
0.619048,0.136364,0.962695,4.60949
0.619048,0.181818,1.15127,4.36109
0.619048,0.227273,1.33984,4.11269
0.619048,0.272727,-0.122008,5.54706
0.619048,0.318182,-0.179464,4.99362
0.619048,0.363636,-0.236919,4.44018
0.619048,0.409091,-1.27476,3.74241
0.619048,0.454545,-1.55556,2.78939
0.619048,0.5,-1.83637,1.83637
0.666667,0,-0.510312,0
0.666667,0.0454545,-0.733301,0.298549
0.666667,0.0909091,0.42423,-0.790761
0.666667,0.136364,-0.745919,1.67651
0.666667,0.181818,-0.934493,2.03884
0.666667,0.227273,-0.809007,-0.465792
0.666667,0.272727,-0.277493,2.20127
0.666667,0.318182,-0.220038,1.98525
0.666667,0.363636,-1.11075,0.434085
0.666667,0.409091,0.800176,0.902475
0.666667,0.454545,1.08098,0.388343
0.666667,0.5,-0.0642924,0.0642924
0.714286,0,0.0745126,0
0.714286,0.0454545,-0.159627,-0.5462
0.714286,0.0909091,-0.229924,-1.03306
0.714286,0.136364,-0.556756,0.997175
0.714286,0.181818,-0.679925,-1.62462
0.714286,0.227273,-0.746567,-1.54147
0.714286,0.272727,-0.928415,1.24611
0.714286,0.318182,-0.399449,-1.13573
0.714286,0.363636,-0.384557,-0.600125
0.714286,0.409091,0.00309903,0.259951
0.714286,0.454545,0.29918,-0.5506
0.714286,0.5,0.360995,-0.360995
0.761905,0,0.492312,0
0.761905,0.0454545,0.562608,-0.164953
0.761905,0.0909091,0.632905,-0.329905
0.761905,0.136364,0.564523,0.277762
0.761905,0.181818,0.631165,0.517828
0.761905,0.227273,0.697806,0.757895
0.761905,0.272727,-0.156812,0.960377
0.761905,0.318182,-0.171704,0.914454
